©	版权
◡	下半圆圈
◢	实心右下三角
◣	实心左下三角
◤	实心左上三角
◥	实心右上三角
◦	空心项目符号
◯	大空心圆
◳	右上象限空心方形
◷	右上象限空心圆圈
◻	白色中方块
◼	黑色中方块
◽	白色中小方块
◾	黑色中小方块
◿	右下三角
☀	太阳
☁	云
☂	伞
☃	雪与雪人
☄	彗星
☎	电话
☑	勾选框
☔	雨伞
☕	热饮
☘	三叶草
☝	食指向上指
☠	骷髅
☢	辐射
☣	生物危害
☦	东正教十字架
☪	星月
☮	和平
☯	太极
☸	法轮
☹	不满
☺	微笑
♀	女
♂	男
♈	白羊座
♉	金牛座
♊	双子座
♋	巨蟹座
♌	狮子座
♍	处女座
♎	天秤座
♏	天蝎座
♐	射手座
♑	摩羯座
♒	水瓶座
♓	双鱼座
♟	兵
♠	黑桃
♣	梅花
♥	红桃
♦	方片
♨	温泉
♪	八分音符
♭	降音符
♯	升号
♻	回收
♾	无限
♿	轮椅
⚒	锤子与镐
⚓	锚
⚔	双剑
⚕	医疗标志
⚖	天平
⚗	蒸馏器
⚙	齿轮
⚛	原子
⚜	百合花饰
⚠	警告
⚡	高压
⚧	跨性别符号
⚪	白色圆
⚫	黑色圆
⚰	棺材
⚱	骨灰缸
⚽	足球
⚾	棒球
⛄	雪人
⛅	阴
⛈	雷阵雨
⛎	蛇夫座
⛏	锄头
⛑	白十字头盔
⛓	链条
⛔	禁止通行
⛩	神社
⛪	教堂
⛰	山
⛱	阳伞
⛲	喷泉
⛳	高尔夫
⛴	渡轮
⛵	帆船
⛷	滑雪的人
⛸	滑冰
⛹	玩球
⛺	帐篷
⛽	油泵
✂	剪刀
✅	空心对勾
✈	飞机
✉	信封
✊	举起拳头
✋	举起手
✌	胜利手势
✍	写字
✏	铅笔
✒	钢笔尖
✔	对勾
✖	乘号
✝	十字架
✡	六芒星
✨	闪亮
✳	八芒星
✴	八角星
❄	雪花
❇	火花
❌	叉
❎	叉符号按钮
❓	问号
❔	空心问号
❕	空心叹号
❗	叹号
❣	心叹号
❤	红心
➕	加号
➖	减号
➗	除号
➡	向右箭头
➰	日本单环标志
➿	日本免费电话标志
⤴	右上弯箭头
⤵	右下弯箭头
⨧	带下标二的加号
⨯	向量叉乘
⨼	内积
⩣	带双底线的逻辑或
⩽	小于或倾斜等于
⪍	小于或相似
⪚	双线等于或大于
⪺	后于或不约等于
⬅	向左箭头
⬆	向上箭头
⬇	向下箭头
⬛	白色大方块
⬜	黑色大方块
⭐	星星
⭕	大圆圈
〽	庵点
㊗	祝
㊙	秘
﷼	里亚尔
🅰	A 型血
🅱	B 型血
🅾	O 型血
🅿	停车
🆎	AB 型血
🆑	字母cl
🆒	酷
🆓	免费
🆔	身份
🆕	新
🆖	ng
🆗	ok按钮
🆘	SOS
🆙	up
🆚	VS
🇨🇶	萨克岛
🈁	日文的这里”按钮
🈂	日文的服务费”按钮
🈚	无
🈯	指
🈲	禁
🈳	空
🈴	合
🈵	满
🈶	有
🈷	月
🈸	申
🈹	割
🈺	营
🉐	得
🉑	可
🀄	红中
🃏	大小王
🌀	台风
🌁	有雾
🌂	收起的伞
🌃	夜晚
🌄	山顶日出
🌅	日出
🌆	城市黄昏
🌇	夕阳
🌈	彩虹
🌉	夜幕下的桥
🌊	浪花
🌋	火山
🌌	银河
🌍	地球上的欧洲非洲
🌎	地球上的美洲
🌏	地球上的亚洲
🌐	地球
🌑	朔月
🌒	娥眉月
🌓	上弦月
🌔	盈凸月
🌕	满月
🌖	亏凸月
🌗	下弦月
🌘	残月
🌙	弯月
🌚	微笑的朔月
🌛	微笑的上弦月
🌜	微笑的下弦月
🌝	微笑的月亮
🌞	微笑的太阳
🌟	闪亮的星星
🌠	流星
🌡	温度计
🌤	晴偶有云
🌥	多云
🌦	晴转雨
🌧	下雨
🌨	下雪
🌩	打雷
🌪	龙卷风
🌫	雾
🌬	大风
🌭	热狗
🌮	墨西哥卷饼
🌯	墨西哥玉米煎饼
🌰	栗子
🌱	发芽
🌲	松树
🌳	落叶树
🌴	棕榈树
🌵	仙人掌
🌶	红辣椒
🌷	郁金香
🌸	樱花
🌹	玫瑰
🌺	芙蓉
🌻	向日葵
🌼	开花
🌽	玉米
🌾	稻子
🌿	药草
🍀	四叶草
🍁	枫叶
🍂	落叶
🍃	风吹叶落
🍄	蘑菇
🍅	西红柿
🍆	茄子
🍇	葡萄
🍈	甜瓜
🍉	西瓜
🍊	橘子
🍋	柠檬
🍌	香蕉
🍍	菠萝
🍎	红苹果
🍏	青苹果
🍐	梨
🍑	桃
🍒	樱桃
🍓	草莓
🍔	汉堡
🍕	披萨
🍖	排骨
🍗	鸡腿
🍘	米饼
🍙	饭团
🍚	米饭
🍛	咖喱饭
🍜	面条
🍝	意粉
🍞	面包
🍟	薯条
🍠	烤红薯
🍡	团子
🍢	关东煮
🍣	寿司
🍤	天妇罗
🍥	鱼板
🍦	圆筒冰激凌
🍧	刨冰
🍨	冰淇淋
🍩	甜甜圈
🍪	饼干
🍫	巧克力
🍬	糖
🍭	棒棒糖
🍮	奶黄
🍯	蜂蜜
🍰	水果蛋糕
🍱	盒饭
🍲	一碗食物
🍳	煎蛋
🍴	刀叉
🍵	热茶
🍶	清酒
🍷	葡萄酒
🍸	鸡尾酒
🍹	热带水果饮料
🍺	啤酒
🍻	干杯
🍼	奶瓶
🍽	餐具
🍾	香槟
🍿	爆米花
🎀	蝴蝶结
🎁	礼物
🎂	生日蛋糕
🎃	南瓜灯
🎄	圣诞树
🎅	圣诞老人
🎆	焰火
🎇	烟花
🎈	气球
🎉	拉炮彩带
