®	marque déposée
▮	rectangle vertical plein
▰	parallélogramme plein
▲	triangle plein vers le haut
△	triangle creux pointant vers le haut
▴	petit triangle plein pointant vers le haut
▵	petit triangle creux pointant vers le haut
▶	bouton lecture
▷	triangle creux pointant vers la droite
▸	petit triangle plein pointant vers la droite
▹	petit triangle creux pointant vers la droite
►	pointe pleine vers la droite
▻	pointe creuse vers la droite
▼	triangle plein vers le bas
▽	triangle creux pointant vers le bas
▾	petit triangle plein pointant vers le bas
▿	petit triangle creux pointant vers le bas
◀	bouton retour
◁	triangle creux pointant vers la gauche
◂	petit triangle plein pointant vers la gauche
◃	petit triangle creux pointant vers la gauche
◄	pointe pleine vers la gauche
◅	pointe creuse vers la gauche
◆	losange plein
◇	losange creux
◈	losange creux contenant un losange plein
◉	cercle creux contenant un cercle plein
◊	losange
○	cercle vide
◌	cercle en pointillés
◍	cercle hachuré verticalement
◎	cercles concentriques
●	cercle plein
◐	cercle avec moitié gauche pleine
◑	cercle avec moitié droite pleine
◒	cercle avec moitié inférieure pleine
◓	cercle avec moitié supérieure pleine
◔	cercle avec quadrant supérieur droit plein
◕	cercle avec quadrant supérieur gauche vide
◖	demi-cercle gauche plein
◗	demi-cercle droit plein
◘	puce noir au blanc
◙	carré plein contenant un cercle creux
◜	arc de cercle dans le quadrant supérieur gauche
◝	arc de cercle dans le quadrant supérieur droit
◞	arc de cercle dans le quadrant inférieur droit
◟	arc de cercle dans le quadrant inférieur gauche
◠	demi-cercle supérieur
◡	demi-cercle inférieur
◢	triangle rectangle inférieur droit plein
◣	triangle rectangle inférieur gauche plein
◤	triangle rectangle supérieur gauche plein
◥	triangle rectangle supérieur droit plein
◦	puce creuse
◯	grand cercle vide
◳	carré creux avec quartier supérieur droit
◷	cercle creux avec quadrant supérieur droit
◻	carré moyen blanc
◼	carré moyen noir
◽	carré petit moyen blanc
◾	carré petit moyen noir
◿	triangle rectangle inférieur droit
☀	soleil
☁	nuage
☂	parapluie ouvert
☃	bonhomme de neige
☄	comète
☎	téléphone
☑	case cochée
☔	parapluie avec gouttes de pluie
☕	boisson chaude
☘	trèfle
☝	index pointant vers le haut
☠	tête de mort
☢	radioactif
☣	danger biologique
☦	croix orthodoxe
☪	lune et étoile
☮	symbole de paix
☯	yin yang
☸	roue du Dharma
☹	visage mécontent
☺	visage souriant
♀	symbole de la femme
♂	symbole de l’homme
♈	bélier zodiaque
♉	taureau
♊	gémeaux
♋	cancer
♌	lion
♍	vierge
♎	balance
♏	scorpion zodiaque
♐	sagittaire
♑	capricorne
♒	verseau
♓	poissons
♟	pion d’échec
♠	pique
♣	trèfle cartes
♥	cœur cartes
♦	carreau
♨	sources chaudes
♪	croche
♭	bémol
♯	dièse
♻	symbole Recyclage
♾	infini
♿	symbole Accès handicapés
⚒	marteau et pioche
⚓	ancre
⚔	épées croisées
⚕	caducée
⚖	balance à poids
⚗	alambic
⚙	roue dentée
⚛	symbole de l’atome
⚜	fleur de lys
⚠	symbole d’avertissement
⚡	symbole de haute tension
⚧	symbole de la communauté transgenre
⚪	cercle blanc
⚫	cercle noir
⚰	cercueil
⚱	urne funéraire
⚽	ballon de football
⚾	baseball
⛄	bonhomme de neige sans neige
⛅	soleil derrière les nuages
⛈	nuage avec éclair et pluie
⛎	serpentaire
⛏	pioche
⛑	casque de secouriste
⛓	chaînes
⛔	sens interdit
⛩	sanctuaire shinto
⛪	église
⛰	montagne
⛱	parasol sur le sol
⛲	fontaine
⛳	drapeau de golf
⛴	ferry
⛵	voilier
⛷	skieur
⛸	patin à glace
⛹	personne avec ballon
⛺	tente
⛽	pompe à essence
✂	ciseaux
✅	coche blanche
✈	avion
✉	enveloppe
✊	poing levé
✋	main levée
✌	V de la victoire
✍	main qui écrit
✏	crayon
✒	stylo plume noir
✔	coche noire
✖	croix noire
✝	croix latine
✡	étoile de David
✨	étoiles
✳	astérique huit branches
✴	étoile huit branches
❄	flocon
❇	éclat
❌	croix rouge
❎	bouton croix
❓	point d’interrogation
❔	point d’interrogation blanc
❕	point d’exclamation blanc
❗	point d’exclamation
❣	cœur point d’exclamation
❤	cœur rouge
➕	signe Plus
➖	signe Moins
➗	signe Diviser
➡	flèche droite
➰	boucle
➿	double boucle
⤴	flèche courbe haut
⤵	flèche courbe bas
⨧	signe plus avec indice deux
⨯	produit vectoriel
⨼	produit intérieur
⩣	ou logique à deux barres souscrites
⩽	inférieur à ou égal à incliné
⪍	inférieur à sur similaire ou égal à
⪚	égal en deux lignes ou supérieur à
⪺	suit sur non presque égal à
⬅	flèche gauche
⬆	flèche haut
⬇	flèche bas
⬛	grand carré noir
⬜	grand carré blanc
⭐	étoile
⭕	gros cercle
〰	ligne ondulée
〽	alternance
㊗	bouton félicitations en japonais
㊙	bouton secret en japonais
🅰	groupe sanguin A
🅱	groupe sanguin B
🅾	groupe sanguin O
🅿	bouton P
🆎	groupe sanguin AB
🆑	bouton Effacer
🆒	bouton Cool
🆓	bouton Gratuit
🆔	bouton Identifiant
🆕	bouton Nouveau
🆖	bouton Pas bien
🆗	bouton OK
🆘	bouton SOS
🆙	bouton Vers le haut
🆚	bouton VS
🇨🇶	Sercq
🈁	bouton ici en japonais
🈂	bouton frais de service en japonais
🈚	bouton gratuit en japonais
🈯	bouton réservé en japonais
🈲	bouton interdit en japonais
🈳	bouton chambres disponibles en japonais
🈴	bouton note pour réussir en japonais
🈵	bouton complet en japonais
🈶	bouton pas gratuit en japonais
🈷	bouton montant mensuel en japonais
🈸	bouton application en japonais
🈹	bouton réduction en japonais
🈺	bouton ouvert pour affaires en japonais
🉐	bouton bonne affaire en japonais
🉑	bouton accepter en japonais
🀄	dragon rouge mahjong
🃏	carte Joker
🌀	cyclone
🌁	brume
🌂	parapluie fermé
🌃	nuit étoilée
🌄	soleil levant derrière les montagnes
🌅	soleil levant
🌆	ville au crépuscule
🌇	coucher de soleil
🌈	arc-en-ciel
🌉	pont de nuit
🌊	vague
🌋	volcan
🌌	voie lactée
🌍	globe tourné sur l’Afrique et l’Europe
🌎	globe tourné sur les Amériques
🌏	globe tourné sur l’Asie et l’Australie
🌐	globe avec méridiens
🌑	nouvelle lune
🌒	lune croissante
🌓	premier quartier de lune
🌔	lune gibbeuse croissante
🌕	pleine lune
🌖	lune gibbeuse décroissante
🌗	dernier quartier
🌘	lune décroissante
🌙	croissant de lune
🌚	nouvelle lune avec visage
🌛	premier quartier de lune avec visage
🌜	dernier quartier de lune avec visage
🌝	pleine lune avec visage
🌞	soleil avec visage
🌟	étoile brillante
🌠	étoile filante
🌡	thermomètre
🌤	soleil derrière un petit nuage
🌥	soleil derrière un gros nuage
🌦	soleil derrière un nuage de pluie
🌧	nuage avec pluie
🌨	nuage avec neige
🌩	nuage avec éclair
🌪	tornade
🌫	brouillard
🌬	vent avec visage
🌭	hot dog
🌮	taco
🌯	burrito
🌰	châtaigne
🌱	jeune pousse
🌲	conifère
🌳	arbre à feuilles caduques
🌴	palmier
🌵	cactus
🌶	piment rouge
🌷	tulipe
🌸	fleur de cerisier
🌹	rose
🌺	hibiscus
🌻	tournesol
🌼	bourgeon
🌽	épi de maïs
🌾	plant de riz
🌿	feuille
🍀	trèfle à quatre feuilles
🍁	feuille d’érable
🍂	feuille morte
🍃	feuille virevoltante
🍄	champignon
🍅	tomate
🍆	aubergine
🍇	raisin
🍈	melon
🍉	pastèque
🍊	mandarine
🍋	citron
🍌	banane
🍍	ananas
🍎	pomme rouge
🍏	pomme verte
🍐	poire
🍑	pêche
🍒	cerises
🍓	fraise
🍔	hamburger
🍕	pizza
🍖	viande sur un os
🍗	cuisse de poulet
🍘	galette de riz
🍙	boulette de riz
🍚	bol de riz
🍛	riz au curry
🍜	bol fumant
🍝	spaghetti
🍞	pain
🍟	frites
🍠	patate douce
🍡	brochette de bonbons
🍢	brochette de poisson
🍣	sushi
🍤	beignet de crevette
🍥	croquette de poisson
🍦	glace italienne
🍧	granité
🍨	glace
🍩	doughnut
🍪	cookie
🍫	barre chocolatée
🍬	bonbon
🍭	sucette
🍮	crème renversée
🍯	pot de miel
🍰	gâteau sablé
🍱	boîte déjeuner
🍲	marmite
🍳	œuf au plat
🍴	couteau et fourchette
🍵	tasse
🍶	saké
🍷	verre de vin
🍸	cocktail
🍹	cocktail tropical
🍺	chope
🍻	chopes de bière
🍼	biberon
🍽	assiette et couverts
🍾	bouteille de champagne
🍿	pop-corn
🎀	ruban
🎁	cadeau
🎂	gâteau d’anniversaire
🎃	citrouille
🎄	sapin de Noël
🎅	père Noël
🎆	feu d’artifice
🎇	cierge magique
🎈	ballon gonflable
🎉	cotillons
🎊	confettis
🎋	arbre à vœux
🎌	drapeaux croisés
🎍	bambou décoratif
🎎	poupées japonaises
🎏	koinobori
🎐	carillon éolien
🎑	cérémonie de la lune
🎒	cartable
🎓	toque universitaire
🎖	médaille militaire
🎗	ruban de mémoire
🎙	micro de studio
🎚	curseur de niveau
🎛	boutons de réglage
🎞	pellicule
🎟	billet d’entrée
🎠	cheval de manège
🎡	grande roue
