®	marque déposée
🚞	train de montagne
🚟	train suspendu
🚠	téléphérique
🚡	tramway aérien
🚢	navire
🚣	personne ramant dans une barque
🚤	hors-bord
🚥	feu tricolore horizontal
🚦	feu tricolore vertical
🚧	travaux
🚨	gyrophare
🚩	drapeau triangulaire
🚪	porte
🚫	symbole d’interdiction
🚬	cigarette
🚭	interdiction de fumer
🚮	icône Poubelle
🚯	dépôt d’ordures interdit
🚰	eau potable
🚱	eau non potable
🚲	vélo
🚳	vélos interdits
🚴	cycliste
🚵	personne en VTT
🚶	personne qui marche
🚷	interdit aux piétons
🚸	traversée d’enfants
🚹	symbole Toilettes hommes
🚺	symbole Toilettes femmes
🚻	panneau Toilettes
🚼	symbole Bébé
🚽	toilettes
🚾	WC
🚿	douche
🛀	personne prenant un bain
🛁	baignoire
🛂	contrôle des passeports
🛃	douane
🛄	retrait des bagages
🛅	consigne
🛋	canapé et lampe
🛌	personne au lit
🛍	sacs de shopping
🛎	cloche de comptoir
🛏	lit
🛐	lieu de culte
🛑	stop
🛒	chariot
🛕	temple hindou
🛖	hutte
🛗	ascenseur
🛜	sans fil
🛝	toboggan
🛞	roue
🛟	bouée de sauvetage
🛠	marteau et clé à molette
🛡	bouclier
🛢	baril de pétrole
🛣	autoroute
🛤	voie ferrée
🛥	bateau à moteur
🛩	petit avion
🛫	avion au décollage
🛬	avion à l’atterrissage
🛰	satellite
🛳	paquebot
🛴	trottinette
🛵	scooter
🛶	canoë
🛷	luge
🛸	soucoupe volante
🛹	planche à roulettes
🛺	tuk tuk
🛻	pick-up
🛼	patin à roulettes
🟠	disque orange
🟡	disque jaune
🟢	disque vert
🟣	disque violet
🟤	disque marron
🟥	carré rouge
🟦	carré bleu
🟧	carré orange
🟨	carré jaune
🟩	carré vert
🟪	carré violet
🟫	carré marron
🟰	signe égal gras
🤌	bout des doigts joints
🤍	cœur blanc
🤎	cœur marron
🤏	pouce et index rapprochés
🤐	visage avec bouche fermeture éclair
🤑	argent dans les yeux et la bouche
🤒	visage avec thermomètre
🤓	visage de geek
🤔	visage en pleine réflexion
🤕	visage avec bandage autour de la tête
🤖	visage de robot
🤗	visage qui fait un câlin
🤘	cornes avec les doigts
🤙	signe appel téléphonique avec les doigts
🤚	dos de main levée
🤛	poing à gauche
🤜	poing à droite
🤝	poignée de main
🤞	doigts croisés
🤟	signe je t’aime
🤠	visage avec chapeau de cowboy
🤡	visage de clown
🤢	visage nauséeux
🤣	se rouler par terre de rire
🤤	visage qui bave
🤥	visage de menteur
🤦	personne avec la paume sur le visage
🤧	visage qui éternue
🤨	visage avec les sourcils relevés
🤩	visage avec des étoiles à la place des yeux
🤪	tête de fou
🤫	visage avec un doigt sur la bouche
🤬	visage avec des symboles dans la bouche
🤭	visage avec une main sur la bouche
🤮	visage qui vomit
🤯	tête qui explose
🤰	femme enceinte
🤱	allaitement
🤲	paume contre paume doigts vers le haut
🤳	selfie
🤴	prince
🤵	homme en smoking
🤶	mère Noël
🤷	personne qui hausse les épaules
🤸	personne faisant la roue
🤹	personne qui jongle
🤺	escrimeur
🤼	personnes faisant de la lutte
🤽	personne jouant au water-polo
🤾	personne jouant au handball
🤿	masque de plongée
🥀	fleur fanée
🥁	batterie
🥂	trinquer
🥃	verre tumbler
🥄	cuillère
🥅	cage
🥇	médaille d’or
🥈	médaille d’argent
🥉	médaille de bronze
🥊	gant de boxe
🥋	tenue d’arts martiaux
🥌	pierre de curling
🥍	crosse
🥎	softball
🥏	disque-volant
🥐	croissant
🥑	avocat
🥒	concombre
🥓	lard
🥔	pomme de terre
🥕	carotte
🥖	baguette
🥗	salade verte
🥘	plat mitonné
🥙	kebab
🥚	œuf
🥛	verre de lait
🥜	cacahuètes
🥝	kiwi
🥞	pancakes
🥟	boulette de pâte
🥠	biscuit chinois
🥡	boîte à emporter
🥢	baguettes
🥣	bol avec cuillère
🥤	tasse avec paille
🥥	noix de coco
🥦	broccoli
🥧	tarte
🥨	bretzel
🥩	morceau de viande
🥪	sandwich
🥫	aliments en conserve
🥬	légume à feuilles vertes
🥭	mangue
🥮	gâteau de lune
🥯	bagel
🥰	visage souriant entouré de cœurs
🥱	visage bâillant
🥲	visage souriant avec une larme
🥳	visage festif
🥴	visage éméché
🥵	visage rouge et chaud
🥶	visage bleu et froid
🥷	ninja
🥸	visage déguisé
🥹	visage retenant ses larmes
🥺	visage implorant
🥻	sari
🥼	blouse blanche
🥽	lunettes
🥾	chaussure de randonnée
🥿	chaussure plate
🦀	crabe
🦁	tête de lion
🦂	scorpion
🦃	dindon
🦄	tête de licorne
🦅	aigle
🦆	canard
🦇	chauve-souris
🦈	requin
🦉	chouette
🦊	tête de renard
🦋	papillon
🦌	cerf
🦍	gorille
🦎	lézard
🦏	rhinocéros
🦐	crevette
🦑	calamar
🦒	girafe
🦓	zèbre
🦔	hérisson
🦕	sauropode
🦖	T-Rex
🦗	criquet
🦘	kangourou
🦙	lama
🦚	paon
🦛	hippopotame
🦜	perroquet
🦝	raton laveur
🦞	homard
🦟	moustique
🦠	microbe
🦡	blaireau
🦢	cygne
🦣	mammouth
🦤	dodo
🦥	paresseux
🦦	loutre
🦧	orang-outan
🦨	mouffette
🦩	flamant
🦪	huître
🦫	castor
🦬	bison
🦭	phoque
🦮	chien guide
🦯	canne blanche
🦰	cheveux roux
🦱	cheveux bouclés
🦲	chauve
🦳	cheveux blancs
🦴	os
🦵	jambe
🦶	pied
🦷	dent
🦸	super-héros
🦹	super-vilain
🦺	gilet de sécurité
🦻	oreille appareillée
🦼	fauteuil motorisé
🦽	fauteuil roulant manuel
🦾	bras mécanique
🦿	jambe mécanique
🧀	part de fromage
🧁	cupcake
🧂	sel
🧃	briquette de jus
🧄	ail
🧅	oignon
🧆	falafels
🧇	gaufre
🧈	beurre
🧉	maté
🧊	glaçon
🧋	thé aux perles
🧌	troll
🧍	personne debout
🧎	personne à genoux
🧏	personne sourde
🧐	visage avec un monocle
🧑	adulte
🧒	enfant
🧓	personne âgée
🧔	personne barbue
🧕	femme avec foulard
🧖	personne au hammam
🧗	personne qui grimpe
🧘	personne dans la posture du lotus
🧙	mage
🧚	personnage féérique
🧛	vampire
🧜	créature aquatique
🧝	elfe
🧞	génie
🧟	zombie
🧠	cerveau
🧡	cœur orange
🧢	casquette américaine
🧣	foulard
🧤	gants
🧥	manteau
🧦	chaussettes
🧧	enveloppe rouge
🧨	pétard
🧩	pièce de puzzle
🧪	tube à essai
🧫	boîte de pétri
🧬	adn
🧭	boussole
🧮	abaque
🧯	extincteur
🧰	boîte à outils
🧱	brique
🧲	aimant
🧳	bagage
🧴	bouteille de lotion
🧵	bobine de fil
🧶	fil
🧷	épingle de sûreté
🧸	ours en peluche
🧹	balai
🧺	panier
🧻	rouleau de papier
🧼	savon
🧽	éponge
🧾	reçu
🧿	mauvais œil
🇦🇨	drapeau de l’île de l’Ascension
🇦🇩	drapeau d’Andorre
🇦🇪	drapeau des Émirats arabes unis
🇦🇫	drapeau de l’Afghanistan
🇦🇬	drapeau d’Antigua-et-Barbuda
🇦🇮	drapeau d’Anguilla
🇦🇱	drapeau de l’Albanie
🇦🇲	drapeau de l’Arménie
🇦🇴	drapeau de l’Angola
🇦🇶	drapeau de l’Antarctique
🇦🇷	drapeau de l’Argentine
🇦🇸	drapeau des Samoa américaines
🇦🇹	drapeau de l’Autriche
🇦🇺	drapeau de l’Australie
🇦🇼	drapeau d’Aruba
🇦🇽	drapeau des îles Åland
🇦🇿	drapeau de l’Azerbaïdjan
🇧🇦	drapeau de la Bosnie-Herzégovine
🇧🇧	drapeau de la Barbade
🇧🇩	drapeau du Bangladesh
🇧🇪	drapeau de la Belgique
🇧🇫	drapeau du Burkina Faso
🇧🇬	drapeau de la Bulgarie
🇧🇭	drapeau du Bahreïn
🇧🇮	drapeau du Burundi
🇧🇯	drapeau du Bénin
🇧🇱	drapeau de Saint-Barthélemy
🇧🇲	drapeau des Bermudes
🇧🇳	drapeau du Brunéi Darussalam
🇧🇴	drapeau de la Bolivie
🇧🇶	drapeau des Pays-Bas caribéens
🇧🇷	drapeau du Brésil
🇧🇸	drapeau des Bahamas
🇧🇹	drapeau du Bhoutan
🇧🇻	drapeau de l’île Bouvet
🇧🇼	drapeau du Botswana
🇧🇾	drapeau de la Biélorussie
🇧🇿	drapeau du Belize
🇨🇦	drapeau du Canada
🇨🇨	drapeau des îles Cocos
🇨🇩	drapeau du Congo-Kinshasa
🇨🇫	drapeau de la République centrafricaine
🇨🇬	drapeau du Congo-Brazzaville
🇨🇭	drapeau de la Suisse
🇨🇮	drapeau de la Côte d’Ivoire
🇨🇰	drapeau des îles Cook
🇨🇱	drapeau du Chili
🇨🇲	drapeau du Cameroun
🇨🇳	drapeau de la Chine
🇨🇴	drapeau de la Colombie
🇨🇵	drapeau de l’île Clipperton
🇨🇷	drapeau du Costa Rica
🇨🇺	drapeau de Cuba
🇨🇻	drapeau du Cap-Vert
🇨🇼	drapeau de Curaçao
🇨🇽	drapeau de l’île Christmas
🇨🇾	drapeau de Chypre
🇨🇿	drapeau de la Tchéquie
🇩🇪	drapeau de l’Allemagne
🇩🇬	drapeau de Diego Garcia
🇩🇯	drapeau de Djibouti
🇩🇰	drapeau du Danemark
🇩🇲	drapeau de la Dominique
🇩🇴	drapeau de la République dominicaine
🇩🇿	drapeau de l’Algérie
🇪🇦	drapeau de Ceuta et Melilla
🇪🇨	drapeau de l’Équateur
🇪🇪	drapeau de l’Estonie
🇪🇬	drapeau de l’Égypte
🇪🇭	drapeau du Sahara occidental
🇪🇷	drapeau de l’Érythrée
🇪🇸	drapeau de l’Espagne
🇪🇹	drapeau de l’Éthiopie
🇪🇺	drapeau de l’Union européenne
🇫🇮	drapeau de la Finlande
🇫🇯	drapeau des Fidji
🇫🇰	drapeau des îles Malouines
🇫🇲	drapeau des États fédérés de Micronésie
🇫🇴	drapeau des îles Féroé
🇫🇷	drapeau de la France
🇬🇦	drapeau du Gabon
🇬🇧	drapeau du Royaume-Uni
🇬🇩	drapeau de la Grenade
🇬🇪	drapeau de la Géorgie
🇬🇫	drapeau de la Guyane française
🇬🇬	drapeau de Guernesey
🇬🇭	drapeau du Ghana
🇬🇮	drapeau de Gibraltar
🇬🇱	drapeau du Groenland
🇬🇲	drapeau de la Gambie
🇬🇳	drapeau de la Guinée
🇬🇵	drapeau de la Guadeloupe
🇬🇶	drapeau de la Guinée équatoriale
🇬🇷	drapeau de la Grèce
🇬🇸	drapeau de la Géorgie du Sud et îles Sandwich du Sud
🇬🇹	drapeau du Guatemala
🇬🇺	drapeau de Guam
🇬🇼	drapeau de la Guinée-Bissau
🇬🇾	drapeau du Guyana
🇭🇰	drapeau de Hong Kong
🇭🇲	drapeau des îles Heard et McDonald
🇭🇳	drapeau du Honduras
🇭🇷	drapeau de la Croatie
🇭🇹	drapeau d’Haïti
🇭🇺	drapeau de la Hongrie
🇮🇨	drapeau des îles Canaries
🇮🇩	drapeau de l’Indonésie
🇮🇪	drapeau de l’Irlande
🇮🇱	drapeau d’Israël
🇮🇲	drapeau de l’île de Man
🇮🇳	drapeau de l’Inde
🇮🇴	drapeau du territoire britannique de l’océan Indien
🇮🇶	drapeau de l’Irak
🇮🇷	drapeau de l’Iran
🇮🇸	drapeau de l’Islande
🇮🇹	drapeau de l’Italie
🇯🇪	drapeau de Jersey
🇯🇲	drapeau de la Jamaïque
🇯🇴	drapeau de la Jordanie
🇯🇵	drapeau du Japon
🇰🇪	drapeau du Kenya
🇰🇬	drapeau du Kirghizistan
🇰🇭	drapeau du Cambodge
🇰🇮	drapeau des Kiribati
🇰🇲	drapeau des Comores
🇰🇳	drapeau de Saint-Christophe-et-Niévès
🇰🇵	drapeau de la Corée du Nord
🇰🇷	drapeau de la Corée du Sud
🇰🇼	drapeau du Koweït
🇰🇾	drapeau des îles Caïmans
🇰🇿	drapeau du Kazakhstan
🇱🇦	drapeau du Laos
🇱🇧	drapeau du Liban
🇱🇨	drapeau de Sainte-Lucie
🇱🇮	drapeau du Liechtenstein
🇱🇰	drapeau du Sri Lanka
🇱🇷	drapeau du Libéria
🇱🇸	drapeau du Lesotho
🇱🇹	drapeau de la Lituanie
🇱🇺	drapeau du Luxembourg
🇱🇻	drapeau de la Lettonie
🇱🇾	drapeau de la Libye
🇲🇦	drapeau du Maroc
🇲🇨	drapeau de Monaco
🇲🇩	drapeau de la Moldavie
🇲🇪	drapeau du Monténégro
🇲🇫	drapeau de Saint-Martin
🇲🇬	drapeau de Madagascar
🇲🇭	drapeau des îles Marshall
🇲🇰	drapeau de la Macédoine
🇲🇱	drapeau du Mali
🇲🇲	drapeau du Myanmar
🇲🇳	drapeau de la Mongolie
🇲🇴	drapeau de Macao
🇲🇵	drapeau des îles Mariannes du Nord
🇲🇶	drapeau de la Martinique
🇲🇷	drapeau de la Mauritanie
🇲🇸	drapeau de Montserrat
🇲🇹	drapeau de Malte
🇲🇺	drapeau de Maurice
🇲🇻	drapeau des Maldives
🇲🇼	drapeau du Malawi
🇲🇽	drapeau du Mexique
🇲🇾	drapeau de la Malaisie
🇲🇿	drapeau du Mozambique
🇳🇦	drapeau de la Namibie
🇳🇨	drapeau de la Nouvelle-Calédonie
🇳🇪	drapeau du Niger
🇳🇫	drapeau de l’île Norfolk
🇳🇬	drapeau du Nigéria
🇳🇮	drapeau du Nicaragua
🇳🇱	drapeau des Pays-Bas
🇳🇴	drapeau de la Norvège
🇳🇵	drapeau du Népal
🇳🇷	drapeau de Nauru
🇳🇺	drapeau de Niue
🇳🇿	drapeau de la Nouvelle-Zélande
🇴🇲	drapeau d’Oman
🇵🇦	drapeau du Panama
🇵🇪	drapeau du Pérou
🇵🇫	drapeau de la Polynésie française
🇵🇬	drapeau de la Papouasie-Nouvelle-Guinée
🇵🇭	drapeau des Philippines
🇵🇰	drapeau du Pakistan
🇵🇱	drapeau de la Pologne
🇵🇲	drapeau de Saint-Pierre-et-Miquelon
🇵🇳	drapeau des îles Pitcairn
🇵🇷	drapeau de Porto Rico
🇵🇸	drapeau des territoires palestiniens
🇵🇹	drapeau du Portugal
🇵🇼	drapeau des Palaos
🇵🇾	drapeau du Paraguay
🇶🇦	drapeau du Qatar
🇷🇪	drapeau de la Réunion
🇷🇴	drapeau de la Roumanie
🇷🇸	drapeau de la Serbie
🇷🇺	drapeau de la Russie
🇷🇼	drapeau du Rwanda
🇸🇦	drapeau de l’Arabie saoudite
🇸🇧	drapeau des îles Salomon
🇸🇨	drapeau des Seychelles
🇸🇩	drapeau du Soudan
🇸🇪	drapeau de la Suède
🇸🇬	drapeau de Singapour
🇸🇭	drapeau de Sainte-Hélène
🇸🇮	drapeau de la Slovénie
🇸🇯	drapeau de Svalbard et Jan Mayen
🇸🇰	drapeau de la Slovaquie
🇸🇱	drapeau de la Sierra Leone
🇸🇲	drapeau de Saint-Marin
🇸🇳	drapeau du Sénégal
🇸🇴	drapeau de la Somalie
🇸🇷	drapeau du Suriname
🇸🇸	drapeau du Soudan du Sud
🇸🇹	drapeau de Sao Tomé-et-Principe
🇸🇻	drapeau du Salvador
🇸🇽	drapeau de la partie néerlandaise de Saint-Martin
🇸🇾	drapeau de la Syrie
🇸🇿	drapeau du Swaziland
🇹🇦	drapeau de Tristan da Cunha
🇹🇨	drapeau des îles Turques-et-Caïques
🇹🇩	drapeau du Tchad
🇹🇫	drapeau des terres australes françaises
🇹🇬	drapeau du Togo
🇹🇭	drapeau de la Thaïlande
🇹🇯	drapeau du Tadjikistan
🇹🇰	drapeau des Tokélaou
🇹🇱	drapeau du Timor oriental
🇹🇲	drapeau du Turkménistan
🇹🇳	drapeau de la Tunisie
🇹🇴	drapeau des Tonga
🇹🇷	drapeau de la Turquie
🇹🇹	drapeau de Trinité-et-Tobago
🇹🇻	drapeau des Tuvalu
🇹🇼	drapeau de Taïwan
🇹🇿	drapeau de la Tanzanie
🇺🇦	drapeau de l’Ukraine
🇺🇬	drapeau de l’Ouganda
🇺🇲	drapeau des îles mineures éloignées des États-Unis
🇺🇳	drapeau des Nations Unies
🇺🇸	drapeau des États-Unis
🇺🇾	drapeau de l’Uruguay
🇺🇿	drapeau de l’Ouzbékistan
🇻🇦	drapeau de l’État de la Cité du Vatican
🇻🇨	drapeau de Saint-Vincent-et-les-Grenadines
🇻🇪	drapeau du Venezuela
🇻🇬	drapeau des îles Vierges britanniques
🇻🇮	drapeau des îles Vierges des États-Unis
🇻🇳	drapeau du Vietnam
🇻🇺	drapeau du Vanuatu
🇼🇫	drapeau de Wallis-et-Futuna
🇼🇸	drapeau des Samoa
🇽🇰	drapeau du Kosovo
🇾🇪	drapeau de l’Yémen
🇾🇹	drapeau de Mayotte
🇿🇦	drapeau de l’Afrique du Sud
🇿🇲	drapeau de la Zambie
🇿🇼	drapeau du Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	drapeau de l’Angleterre
🏴󠁧󠁢󠁳󠁣󠁴󠁿	drapeau de l’Écosse
🏴󠁧󠁢󠁷󠁬󠁳󠁿	drapeau du pays de Galles
#️⃣	touche dièse
*️⃣	touche astérisque
0️⃣	touche zéro
1️⃣	touche un
2️⃣	touche deux
3️⃣	touche trois
4️⃣	touche quatre
5️⃣	touche cinq
6️⃣	touche six
7️⃣	touche sept
8️⃣	touche huit
9️⃣	touche neuf
🩰	chaussons de danse
🩱	maillot de bain une pièce
🩲	slip
🩳	short
🩴	tong
🩵	cœur bleu clair
🩶	cœur gris
🩷	cœur rose
🩸	goutte de sang
🩹	sparadrap
🩺	stéthoscope
🩻	radiographie
🩼	béquille
🪀	yoyo
🪁	cerf-volant
🪂	parachute
🪃	boomerang
🪄	baguette magique
🪅	piñata
🪆	poupées russes
🪇	maracas
🪈	flûte
🪉	harpe
🪏	pelle
🪐	planète à anneaux
🪑	chaise
🪒	rasoir
🪓	hache
🪔	diya
🪕	banjo
🪖	casque militaire
🪗	accordéon
🪘	djembé
🪙	pièce
🪚	scie
🪛	tournevis
🪜	échelle
🪝	crochet
🪞	miroir
🪟	fenêtre
🪠	ventouse
🪡	aiguille à coudre
🪢	nœud
🪣	seau
🪤	tapette à souris
🪥	brosse à dents
🪦	pierre tombale
🪧	pancarte
🪨	rocher
🪩	boule à facettes
🪪	carte d’identité
🪫	pile faible
🪬	main de Fatma
🪭	éventail
🪮	peigne afro
🪯	khanda
🪰	mouche
🪱	lombric
🪲	scarabée
🪳	cafard
🪴	plante en pot
🪵	bois
🪶	plume
🪷	lotus
🪸	corail
🪹	nid vide
🪺	nid avec œufs
🪻	jacinthe
🪼	méduse
🪽	aile
🪾	arbre sans feuille
🪿	oie
🫀	cœur
🫁	poumons
🫂	étreinte
🫃	homme enceint
🫄	personne enceinte
🫅	personne avec une couronne
🫆	empreinte digitale
🫎	élan
🫏	âne
🫐	myrtilles
🫑	poivron
🫒	olive
🫓	galette
🫔	tamal
🫕	fondue
🫖	théière
🫗	verser un liquide
🫘	haricots
🫙	bocal
🫚	racine de gingembre
🫛	cosse de petits pois
🫜	légume-racine
🫟	éclaboussure
🫠	visage qui fond
🫡	visage qui fait un salut militaire
🫢	visage avec yeux ouverts et main sur la bouche
🫣	visage qui regarde entre ses doigts
🫤	visage avec bouche en diagonale
🫥	visage en pointillés
🫦	lèvres qui se mordent
🫧	bulles
🫨	visage secoué
🫩	visage avec des valises sous les yeux
🫰	main avec index et pouce croisés
🫱	main vers la droite
🫲	main vers la gauche
🫳	main paume vers le bas
🫴	main paume vers le haut
🫵	index pointant vers l’utilisateur
🫶	mains qui forment un cœur
🫷	main qui pousse vers la gauche
🫸	main qui pousse vers la droite
⛓‍💥	chaîne brisée
❤‍🔥	cœur enflammé
❤‍🩹	cœur avec bandages
🍄‍🟫	champignon marron
🍋‍🟩	citron vert
🏃‍♀‍➡	femme qui court vers la droite
🏃‍♂‍➡	homme qui court vers la droite
🏃‍➡	personne qui court vers la droite
🏳‍⚧	drapeau transgenre
🐈‍⬛	chat noir
🐕‍🦺	chien d’assistance
🐦‍⬛	oiseau noir
🐦‍🔥	phénix
🐻‍❄	ours polaire
👨‍🍼	homme allaitant un bébé
👨‍🦯	homme avec canne blanche
👨‍🦯‍➡	homme avec canne blanche vers la droite
👨‍🦰	homme cheveux roux
👨‍🦱	homme cheveux bouclés
👨‍🦲	homme chauve
👨‍🦳	homme cheveux blancs
👨‍🦼	homme en fauteuil motorisé
👨‍🦼‍➡	homme en fauteuil motorisé vers la droite
👨‍🦽	homme en fauteuil roulant manuel
👨‍🦽‍➡	homme en fauteuil roulant manuel vers la droite
👩‍❤‍💋‍👨	bisou entre une femme et un homme
👨‍❤‍💋‍👨	bisou entre deux hommes
👩‍❤‍💋‍👩	bisou entre deux femmes
👩‍❤‍👨	couple amoureux formé d’une femme et d’un homme
👨‍❤‍👨	couple amoureux formé de deux hommes
👩‍❤‍👩	couple amoureux formé de deux femmes
👨‍👩‍👦	famille composée d’un homme, d’une femme et d’un garçon
👨‍👩‍👧	famille composée d’un homme, d’une femme et d’une fille
👨‍👩‍👧‍👦	famille composée d’un homme, d’une femme, d’une fille et d’un garçon
👨‍👩‍👦‍👦	famille composée d’un homme, d’une femme et de deux garçons
👨‍👩‍👧‍👧	famille composée d’un homme, d’une femme et de deux filles
👨‍👨‍👦	famille composée de deux hommes et d’un garçon
👨‍👨‍👧	famille composée de deux hommes et d’une fille
👨‍👨‍👧‍👦	famille composée de deux hommes, d’une fille et d’un garçon
👨‍👨‍👦‍👦	famille composée de deux hommes et de deux garçons
👨‍👨‍👧‍👧	famille composée de deux hommes et de deux filles
👩‍🍼	femme allaitant un bébé
👩‍👩‍👦	famille composée de deux femmes et d’un garçon
👩‍👩‍👧	famille composée de deux femmes et d’une fille
👩‍👩‍👧‍👦	famille composée de deux femmes, d’une fille et d’un garçon
👩‍👩‍👦‍👦	famille composée de deux femmes et de deux garçons
👩‍👩‍👧‍👧	famille composée de deux femmes et de deux filles
👨‍👦	famille composée d’un homme et d’un garçon
👨‍👦‍👦	famille composée d’un homme et de deux garçons
👨‍👧	famille composée d’un homme et d’une fille
👨‍👧‍👦	famille composée d’un homme, d’une fille et d’un garçon
👨‍👧‍👧	famille composée d’un homme et de deux filles
👩‍👦	famille composée d’une femme et d’un garçon
👩‍👦‍👦	famille composée d’une femme et de deux garçons
👩‍👧	famille composée d’une femme et d’une fille
👩‍👧‍👦	famille composée d’une femme, d’une fille et d’un garçon
👩‍👧‍👧	famille composée d’une femme et de deux filles
👨‍⚕	professionnel de la santé
👩‍⚕	professionnelle de la santé
👨‍⚖	juge homme
👩‍⚖	juge femme
👨‍✈	pilote homme
👩‍✈	pilote femme
👨‍🌾	fermier
👩‍🌾	fermière
👨‍🍳	cuisinier
👩‍🍳	cuisinière
👨‍🎓	étudiant
👩‍🎓	étudiante
👨‍🎤	chanteur
👩‍🎤	chanteuse
👨‍🎨	artiste homme
👩‍🎨	artiste femme
👨‍🏫	enseignant
👩‍🏫	enseignante
👨‍🏭	ouvrier
👩‍🏭	ouvrière
👨‍💻	informaticien
👩‍💻	informaticienne
👨‍💼	employé de bureau
👩‍💼	employée de bureau
👨‍🔧	mécanicien
👩‍🔧	mécanicienne
👨‍🔬	scientifique homme
👩‍🔬	scientifique femme
👨‍🚀	astronaute homme
👩‍🚀	astronaute femme
👨‍🚒	pompier homme
👩‍🚒	pompier femme
👩‍🦯	femme avec canne blanche
👩‍🦯‍➡	femme avec canne blanche vers la droite
👩‍🦰	femme cheveux roux
👩‍🦱	femme cheveux bouclés
👩‍🦲	femme chauve
👩‍🦳	femme cheveux blancs
👩‍🦼	femme en fauteuil motorisé
👩‍🦼‍➡	femme en fauteuil motorisé vers la droite
👩‍🦽	femme en fauteuil roulant manuel
👩‍🦽‍➡	femme en fauteuil roulant manuel vers la droite
👮‍♀	policière
👮‍♂	policier
👰‍♀	femme avec voile
👰‍♂	homme avec voile
👱‍♀	femme blonde
👱‍♂	homme blond
👳‍♀	femme en turban
👳‍♂	homme en turban
👷‍♀	ouvrière du bâtiment
👷‍♂	ouvrier du bâtiment
💂‍♀	garde femme
💂‍♂	garde homme
🕵️‍♀	détective femme
🕵️‍♂	détective homme
😮‍💨	visage expirant
😵‍💫	visage aux yeux en spirales
😶‍🌫	visage dans les nuages
🙂‍↔	tête secouée horizontalement
🙂‍↕	tête secouée verticalement
🚶‍♀‍➡	femme qui marche vers la droite
🚶‍♂‍➡	homme qui marche vers la droite
🚶‍➡	personne qui marche vers la droite
🤵‍♀	femme en smoking
🤵‍♂	homme en smoking
🦸‍♀	super-héroïne
🦸‍♂	super-héros homme
🦹‍♀	super-vilain femme
🦹‍♂	super-vilain homme
🧍‍♀	femme debout
🧍‍♂	homme debout
🧎‍♀	femme à genoux
🧎‍♀‍➡	femme à genoux vers la droite
🧎‍♂	homme à genoux
🧎‍♂‍➡	homme à genoux vers la droite
🧎‍➡	personne à genoux vers la droite
🧏‍♀	femme sourde
🧏‍♂	homme sourd
🧑‍⚕	professionnel de la santé tous genres
🧑‍⚖	juge
🧑‍✈	pilote
🧑‍🌾	fermier tous genres
🧑‍🍳	cuisinier tous genres
🧑‍🍼	personne allaitant un bébé
🧑‍🎄	personne déguisée en père Noël
🧑‍🎓	étudiant tous genres
🧑‍🎤	chanteur tous genres
🧑‍🎨	artiste
🧑‍🏫	personnel enseignant
🧑‍🏭	ouvrier tous genres
🧑‍💻	informaticien tous genres
🧑‍💼	employé de bureau tous genres
🧑‍🔧	mécanicien tous genres
🧑‍🔬	scientifique
🧑‍🚀	astronaute
🧑‍🚒	pompier
🧑‍🤝‍🧑	deux personnes se tenant la main
🧑‍🦯	personne avec une canne blanche
🧑‍🦯‍➡	personne avec une canne blanche vers la droite
🧑‍🦰	adulte cheveux roux
🧑‍🦱	adulte cheveux bouclés
🧑‍🦲	adulte chauve
🧑‍🦳	adulte cheveux blancs
🧑‍🦼	personne en fauteuil motorisé
🧑‍🦼‍➡	personne en fauteuil motorisé vers la droite
🧑‍🦽	personne en fauteuil roulant manuel
🧑‍🦽‍➡	personne en fauteuil roulant manuel vers la droite
🧑‍🧑‍🧒	famille adulte adulte enfant
🧑‍🧑‍🧒‍🧒	famille adulte adulte enfant enfant
🧑‍🧒	famille adulte enfant
🧑‍🧒‍🧒	famille adulte enfant enfant
🧑‍🩰	danseuse de ballet
🧔‍♀	femme barbue
🧔‍♂	homme barbu
🧙‍♀	mage femme
🧙‍♂	mage homme
🧚‍♀	fée
🧚‍♂	féetaud
🧛‍♀	vampire femme
🧛‍♂	vampire homme
🧜‍♀	sirène
🧜‍♂	triton
🧝‍♀	elfe femme
🧝‍♂	elfe homme
🧞‍♀	génie femme
🧞‍♂	génie homme
🧟‍♀	zombie femme
🧟‍♂	zombie homme
⛹‍♀	femme avec ballon
⛹‍♂	homme avec ballon
🏃‍♀	femme qui court
🏃‍♂	homme qui court
🏄‍♀	surfeuse
🏄‍♂	surfeur
🏊‍♀	nageuse
🏊‍♂	nageur
🏋️‍♀	femme haltérophile
🏋️‍♂	homme haltérophile
🏌️‍♀	golfeuse
🏌️‍♂	golfeur
👯‍♀	femmes avec des oreilles de lapin
👯‍♂	hommes avec des oreilles de lapin
💆‍♀	femme qui se fait masser
💆‍♂	homme qui se fait masser
💇‍♀	femme qui se fait couper les cheveux
💇‍♂	homme qui se fait couper les cheveux
🚣‍♀	rameuse dans une barque
🚣‍♂	rameur dans une barque
🚴‍♀	cycliste femme
🚴‍♂	cycliste homme
🚵‍♀	femme en VTT
🚵‍♂	homme en VTT
🚶‍♀	femme qui marche
🚶‍♂	homme qui marche
🤸‍♀	femme faisant la roue
🤸‍♂	homme faisant la roue
🤹‍♀	jongleuse
🤹‍♂	jongleur
🤼‍♀	lutteuses
🤼‍♂	lutteurs
🤽‍♀	joueuse de water-polo
🤽‍♂	joueur de water-polo
