©	bản quyền
🔏	khóa với bút
🔐	khóa với chìa
🔑	chìa khóa
🔒	khóa
🔓	mở khóa
🔔	cái chuông
🔕	chuông với dấu gạch chéo
🔖	đánh dấu trang
🔗	mắt xích
🔘	nút radio
🔙	mũi tên BACK
🔚	mũi tên END
🔛	mũi tên ON!
🔜	mũi tên SOON
🔝	mũi tên TOP
🔞	cấm người dưới mười tám tuổi
🔟	phím số mười
🔠	nhập chữ hoa la tinh
🔡	nhập chữ thường la tinh
🔢	nhập số
🔣	nhập biểu tượng
🔤	nhập chữ cái la tinh
🔥	lửa
🔦	đèn pin
🔧	cờ lê
🔨	búa
🔩	đai ốc và bu lông
🔪	dao làm bếp
🔫	súng lục
🔬	kính hiển vi
🔭	kính viễn vọng
🔮	quả cầu pha lê
🔯	ngôi sao sáu cánh có dấu chấm
🔰	ký hiệu của Nhật cho người mới bắt đầu
🔱	biểu tượng đinh ba
🔲	nút hình vuông màu đen
🔳	nút hình vuông màu trắng
🔴	hình tròn màu đỏ
🔵	hình tròn màu lam
🔶	hình thoi lớn màu cam
🔷	hình thoi lớn màu lam
🔸	hình thoi nhỏ màu cam
🔹	hình thoi nhỏ màu lam
🔺	tam giác màu đỏ trỏ lên trên
🔻	tam giác màu đỏ trỏ xuống dưới
🔼	nút đi lên
🔽	nút đi xuống
🕉	om
🕊	bồ câu
🕋	kaaba
🕌	nhà thờ hồi giáo
🕍	giáo đường Do thái
🕎	cây đèn menorah
🕐	một giờ
🕑	hai giờ
🕒	ba giờ
🕓	bốn giờ
🕔	năm giờ
🕕	sáu giờ
🕖	bảy giờ
🕗	tám giờ
🕘	chín giờ
🕙	mười giờ
🕚	mười một giờ
🕛	mười hai giờ
🕜	một giờ ba mươi phút
🕝	hai giờ ba mươi phút
🕞	ba giờ ba mươi phút
🕟	bốn giờ ba mươi phút
🕠	năm giờ ba mươi phút
🕡	sáu giờ ba mươi phút
🕢	bảy giờ ba mươi phút
🕣	tám giờ ba mươi phút
🕤	chín giờ ba mươi phút
🕥	mười giờ ba mươi phút
🕦	mười một giờ ba mươi phút
🕧	mười hai giờ ba mươi phút
🕯	nến
🕰	đồng hồ để bàn
🕳	lỗ
🕴	người đàn ông mặc vest đang bay lên
🕵	thám tử
🕶	kính râm
🕷	nhện
🕸	mạng nhện
🕹	cần điều khiển
🕺	người đàn ông đang khiêu vũ
🖇	kẹp giấy được nối
🖊	bút
🖋	bút máy
🖌	cọ vẽ tranh
🖍	bút sáp màu
🖐	tay xòe ngón giơ lên
🖕	ngón giữa
🖖	tay thần lửa
🖤	tim đen
🖥	máy tính để bàn
🖨	máy in
🖱	chuột máy tính
🖲	bi xoay
🖼	tranh trong khung
🗂	dụng cụ chia chỉ mục thẻ
🗃	hộp đựng hồ sơ
🗄	tủ hồ sơ
🗑	sọt rác
🗒	sổ ghi chú gáy xoắn
🗓	lịch gáy xoắn
🗜	cái kẹp
🗝	chìa khóa cũ
🗞	tờ báo được cuộn tròn
🗡	dao găm
🗣	đầu người đang nói
🗨	bong bóng lời nói trái
🗯	bong bóng góc phải
🗳	hòm phiếu với lá phiếu
🗺	bản đồ thế giới
🗻	núi Phú Sĩ
🗼	tháp Tokyo
🗽	Tượng nữ thần Tự do
🗾	bản đồ Nhật Bản
🗿	tượng moai
😀	mặt cười toét
😁	mặt cười toét mắt cười
😂	mặt cười nước mắt
😃	mặt cười miệng há
😄	mặt cười miệng há mắt cười
😅	mặt cười miệng há mồ hôi
😆	mặt cười miệng há mắt nhắm chặt
😇	mặt cười có hào quang
😈	mặt cười có sừng
😉	nháy mắt
😊	mặt cười mắt cười
😋	mặt thưởng thức món ngon
😌	mặt nhẹ nhõm
😍	mặt cười mắt hình trái tim
😎	mặt cười đeo kính
😏	mặt cười khẩy
😐	mặt trung lập
😑	mặt vô cảm
😒	mặt buồn
😓	mặt có mồ hôi
😔	mặt trầm ngâm
😕	mặt bối rối
😖	mặt xấu hổ
😗	mặt hôn
😘	mặt gửi nụ hôn
😙	mặt hôn mắt cười
😚	mặt hôn mắt nhắm
😛	mặt lè lưỡi
😜	mặt lè lưỡi nháy mắt
😝	mặt thè lưỡi mắt nhắm chặt
😞	mặt thất vọng
😟	mặt lo lắng
😠	mặt giận giữ
😡	mặt hờn dỗi
😢	mặt khóc
😣	mặt kiên nhẫn
😤	mặt có mũi đang phì hơi
😥	mặt thất vọng nhưng nhẹ nhõm
😦	mặt cau miệng há
😧	mặt đau khổ
😨	mặt sợ hãi
😩	mặt kiệt sức
😪	mặt buồn ngủ
😫	mặt mệt mỏi
😬	mặt nhăn nhó
😭	mặt khóc to
😮	mặt có miệng há
😯	mặt làm thinh
😰	mặt lo lắng và toát mồ hôi
😱	mặt la hét kinh hãi
😲	mặt kinh ngạc
😳	mặt đỏ ửng
😴	mặt đang ngủ
😵	mặt chóng mặt
😶	mặt không có miệng
😷	mặt đeo khẩu trang y tế
😸	mặt mèo cười toét mắt cười
😹	mặt mèo có nước mắt
😺	mặt mèo cười miệng há
😻	mặt mèo cười mắt hình trái tim
😼	mặt mèo cười gượng
😽	mặt mèo hôn mắt nhắm
😾	mặt mèo hờn dỗi
😿	mặt mèo đang khóc
🙀	mặt mèo mệt lử
🙁	mặt hơi cau mày
🙂	mặt cười mỉm
🙃	mặt lộn ngược
🙄	mặt có mắt đu đưa
🙅	phản đối
🙆	đồng ý
🙇	người đang cúi đầu
🙈	khỉ không nhìn điều xấu
🙉	khỉ không nghe điều xấu
🙊	khỉ không nói điều xấu
🙋	người vui vẻ giơ cao tay
🙌	người đang giơ tay
🙍	người đang cau mày
🙎	người đang bĩu môi
🙏	chắp tay
🚀	tên lửa
🚁	máy bay trực thăng
🚂	đầu máy xe lửa
🚃	toa tàu
🚄	tàu cao tốc
🚅	tàu viên đạn
🚆	tàu hỏa
🚇	tàu điện ngầm
🚈	tàu điện nhẹ
🚉	ga tàu
🚊	xe điện
🚋	tàu điện
🚌	xe buýt
🚍	xe buýt đang tới
🚎	ô tô điện
🚏	điểm dừng xe buýt
🚐	xe buýt nhỏ
🚑	xe cứu thương
🚒	xe cứu hỏa
🚓	xe cảnh sát
🚔	xe cảnh sát đang tới
🚕	taxi
🚖	taxi đang tới
🚗	ô tô
🚘	ô tô đang tới
🚙	xe thể thao đa dụng
🚚	xe tải giao hàng
🚛	đầu kéo rơ-moóc
🚜	máy kéo
🚝	đường một ray
🚞	đường ray leo núi
🚟	đường sắt trên cao
🚠	cáp treo trên núi
🚡	cáp treo
🚢	tàu
🚣	thuyền chèo
🚤	xuồng cao tốc
🚥	đèn giao thông ngang
🚦	đèn giao thông dọc
🚧	công trường
🚨	đèn xe cảnh sát
🚩	cờ tam giác
🚪	cửa
🚫	bị cấm
🚬	thuốc lá
🚭	cấm hút thuốc
🚮	ký hiệu bỏ rác vào thùng
🚯	cấm xả rác
🚰	nước uống
🚱	nước không uống được
🚲	xe đạp
🚳	cấm xe đạp
🚴	người đi xe đạp
🚵	người đi xe đạp leo núi
🚶	người đi bộ
🚷	cấm người đi bộ
🚸	qua đường cho trẻ em
🚹	nhà vệ sinh nam
🚺	nhà vệ sinh nữ
🚻	nhà vệ sinh
🚼	biểu tượng trẻ em
🚽	bồn cầu
🚾	WC
🚿	vòi hoa sen
🛀	người đang tắm bồn
🛁	bồn tắm
🛂	kiểm soát hộ chiếu
🛃	hải quan
🛄	nơi nhận hành lý
🛅	hành lý bỏ quên
🛋	ghế dài và đèn
🛌	người trên giường
🛍	túi mua sắm
🛎	chuông lễ tân
🛏	giường
🛐	nơi thờ phụng
🛑	ký hiệu dừng
🛒	xe mua hàng
🛕	đền hindu
🛖	túp lều
🛗	thang máy
🛜	không dây
🛝	cầu trượt
🛞	bánh xe
🛟	phao cứu sinh
🛠	búa và cờ lê
🛡	cái khiên
🛢	thùng dầu
🛣	đường cao tốc
🛤	đường sắt
🛥	thuyền máy
🛩	máy bay nhỏ
🛫	máy bay khởi hành
🛬	máy bay đến nơi
🛰	vệ tinh
🛳	tàu chở khách
🛴	xe hẩy
🛵	xe tay ga
🛶	xuồng
🛷	xe trượt tuyết
🛸	đĩa bay
🛹	ván trượt
🛺	xe lam
🛻	xe bán tải
🛼	giày trượt patin
🟠	hình tròn màu cam
🟡	hình tròn màu vàng
🟢	hình tròn màu xanh lá cây
🟣	hình tròn màu tím
🟤	hình tròn màu nâu
🟥	hình vuông màu đỏ
🟦	hình vuông màu xanh da trời
🟧	hình vuông màu cam
🟨	hình vuông màu vàng
🟩	hình vuông màu xanh lá cây
🟪	hình vuông màu tím
🟫	hình vuông màu nâu
🟰	dấu bằng đậm
🤌	ngón tay khum lại
🤍	trái tim màu trắng
🤎	trái tim màu nâu
🤏	tay chụm
🤐	mặt có miệng bị kéo khóa
🤑	mặt có miệng tiền
🤒	mặt có miệng ngậm nhiệt kế
🤓	mặt mọt sách
🤔	mặt suy nghĩ
🤕	mặt đeo băng đầu
🤖	mặt rô-bốt
🤗	mặt ôm
🤘	ký hiệu cặp sừng
🤙	bàn tay gọi cho tôi
🤚	mu bàn tay giơ lên
🤛	nắm đấm hướng phía trái
🤜	nắm đấm hướng sang phải
🤝	bắt tay
🤞	hai ngón tay bắt chéo
🤟	cử chỉ yêu nhau
🤠	mặt đội mũ cao bồi
🤡	mặt hề
🤢	mặt buồn nôn
🤣	cười lăn lộn
🤤	mặt thò lò mũi xanh
🤥	mặt nói dối
🤦	lấy tay che mặt
🤧	mặt hắt hơi
🤨	khuôn mặt với lông mày rướn lên
🤩	ngưỡng mộ
🤪	khuôn mặt điên khùng
🤫	mặt ra dấu suỵt
🤬	mặt có các ký hiệu trên miệng
🤭	mặt với tay che miệng
🤮	mặt nôn mửa
🤯	đầu nổ tung
🤰	người phụ nữ có thai
🤱	cho con bú
🤲	hai bàn tay chạm vào nhau
🤳	tự sướng
🤴	hoàng tử
🤵	người mặc áo ximôckinh
🤶	mẹ giáng sinh
🤷	nhún vai
🤸	nhào lộn
🤹	tung hứng
🤺	người đấu kiếm
🤼	vật
🤽	bóng nước
🤾	bóng ném
🤿	mặt nạ lặn
🥀	hoa héo
🥁	trống
🥂	chạm cốc
🥃	ly đáy phẳng
🥄	thìa
🥅	khung thành
🥇	huy chương vàng
🥈	huy chương bạc
🥉	huy chương đồng
🥊	găng tay quyền anh
🥋	đồng phục võ thuật
🥌	bi đá trên băng
🥍	bóng vợt
🥎	bóng mềm
🥏	đĩa bay trò chơi
🥐	bánh sừng bò
🥑	quả bơ
🥒	dưa chuột
🥓	thịt xông khói
🥔	khoai tây
🥕	cà rốt
🥖	bánh mì que
🥗	salat rau
🥘	chảo thức ăn
🥙	bánh mì kẹp thịt
🥚	trứng
🥛	cốc sữa
🥜	đậu phộng
🥝	quả kiwi
🥞	bánh kếp
🥟	bánh bao
🥠	bánh may mắn
🥡	hộp đựng đồ ăn mang đi
🥢	đũa
🥣	tô có thìa
🥤	ly có ống hút
🥥	dừa
🥦	xúp lơ xanh
🥧	bánh nướng
🥨	bánh quy xoắn
🥩	tảng thịt
🥪	bánh mỳ kẹp
🥫	đồ hộp
🥬	xanh lá
🥭	xoài
🥮	bánh trung thu
🥯	bánh mỳ vòng
🥰	mặt cười với ba trái tim
🥱	mặt đang ngáp
🥲	mặt cười với nước mắt
🥳	mặt tiệc tùng
🥴	mặt choáng váng
🥵	mặt nóng
🥶	mặt lạnh
🥷	ninja
🥸	mặt trá hình
🥹	mặt kìm nén nước mắt
🥺	mặt cầu xin
🥻	xari
🥼	áo phòng thí nghiệm
🥽	kính bảo hộ
🥾	giày leo núi
🥿	giày bệt
🦀	cua
🦁	mặt sư tử
🦂	bọ cạp
🦃	gà tây
🦄	mặt kỳ lân
🦅	đại bàng
🦆	vịt
🦇	dơi
🦈	cá mập
🦉	cú
🦊	mặt cáo
🦋	bướm
🦌	hươu
🦍	khỉ đột
🦎	thằn lằn
🦏	tê giác
🦐	tôm
🦑	mực ống
🦒	hươu cao cổ
🦓	ngựa vằn
🦔	nhím
🦕	khủng long chân thằn lằn
🦖	khủng long bạo chúa
🦗	dế
🦘	chuột túi
🦙	lạc đà không bướu
🦚	con công
🦛	hà mã
🦜	con vẹt
🦝	gấu trúc
🦞	tôm hùm
🦟	con muỗi
🦠	vi trùng
🦡	con lửng
🦢	thiên nga
🦣	voi ma mút
🦤	chim cưu
🦥	con lười
🦦	rái cá
🦧	đười ươi
🦨	chồn hôi Mỹ
🦩	hồng hạc
🦪	hàu
🦫	hải ly
🦬	bò rừng
🦭	chó biển
🦮	chó dẫn đường
🦯	gậy dò đường
🦰	tóc đỏ
🦱	tóc xoăn
🦲	hói
🦳	tóc trắng
🦴	xương
🦵	Chân
🦶	bàn chân
🦷	răng
🦸	siêu anh hùng
🦹	nhân vật siêu phản diện
🦺	áo bảo hộ
🦻	tai đeo thiết bị trợ thính
🦼	xe lăn tự động
🦽	xe lăn tay
🦾	cánh tay giả
🦿	chân giả
🧀	miếng pho mát
🧁	bánh nướng nhỏ
🧂	muối
🧃	hộp đồ uống
🧄	tỏi
🧅	hành
🧆	bánh rán nhân gà
🧇	bánh quế
🧈	bơ
🧉	trà nhựa ruồi
🧊	viên đá
🧋	trà sữa trân châu
🧌	người khổng lồ độc ác
🧍	người đứng
🧎	người quỳ
🧏	người khiếm thính
🧐	mặt có mắt chột
🧑	người lớn
🧒	trẻ em
🧓	người lớn tuổi
🧔	người có râu
🧕	người phụ nữ quàng khăn trùm đầu
🧖	người ở trong phòng xông hơi
🧗	người đang leo núi
🧘	người ngồi kiết già
🧙	pháp sư
🧚	tiên
🧛	ma cà rồng
🧜	người cá
🧝	quỷ
🧞	thần
🧟	xác chết sống lại
🧠	não
🧡	trái tim màu cam
🧢	mũ lưỡi trai
🧣	khăn quàng
🧤	găng tay
🧥	áo khoác
🧦	tất
🧧	bao lì xì
🧨	pháo
🧩	ghép hình
🧪	ống nghiệm
🧫	đĩa petri
🧬	adn
🧭	la bàn
🧮	bàn tính
🧯	bình chữa cháy
🧰	hộp dụng cụ
🧱	gạch
🧲	nam châm
🧳	hành lý
🧴	chai sữa dưỡng da
🧵	sợi chỉ
🧶	sợi
🧷	ghim băng
🧸	gấu bông
🧹	cây chổi
🧺	cái giỏ
🧻	cuộn giấy
🧼	xà phòng
🧽	bọt biển
🧾	biên nhận
🧿	bùa may mắn nazar
🇦🇨	cờ Đảo Ascension
🇦🇩	cờ Andorra
🇦🇪	cờ Các Tiểu Vương quốc Ả Rập Thống nhất
🇦🇫	cờ Afghanistan
🇦🇬	cờ Antigua và Barbuda
🇦🇮	cờ Anguilla
🇦🇱	cờ Albania
🇦🇲	cờ Armenia
🇦🇴	cờ Angola
🇦🇶	cờ Nam Cực
🇦🇷	cờ Argentina
🇦🇸	cờ Samoa thuộc Mỹ
🇦🇹	cờ Áo
🇦🇺	cờ Australia
🇦🇼	cờ Aruba
🇦🇽	cờ Quần đảo Åland
🇦🇿	cờ Azerbaijan
🇧🇦	cờ Bosnia và Herzegovina
🇧🇧	cờ Barbados
🇧🇩	cờ Bangladesh
🇧🇪	cờ Bỉ
🇧🇫	cờ Burkina Faso
🇧🇬	cờ Bulgaria
🇧🇭	cờ Bahrain
🇧🇮	cờ Burundi
🇧🇯	cờ Benin
🇧🇱	cờ St. Barthélemy
🇧🇲	cờ Bermuda
🇧🇳	cờ Brunei
🇧🇴	cờ Bolivia
🇧🇶	cờ Ca-ri-bê Hà Lan
🇧🇷	cờ Brazil
🇧🇸	cờ Bahamas
🇧🇹	cờ Bhutan
🇧🇻	cờ Đảo Bouvet
🇧🇼	cờ Botswana
🇧🇾	cờ Belarus
🇧🇿	cờ Belize
🇨🇦	cờ Canada
🇨🇨	cờ Quần đảo Cocos (Keeling)
🇨🇩	cờ Congo - Kinshasa
🇨🇫	cờ Cộng hòa Trung Phi
🇨🇬	cờ Congo - Brazzaville
🇨🇭	cờ Thụy Sĩ
🇨🇮	cờ Côte d’Ivoire
🇨🇰	cờ Quần đảo Cook
🇨🇱	cờ Chile
🇨🇲	cờ Cameroon
🇨🇳	cờ Trung Quốc
🇨🇴	cờ Colombia
🇨🇵	cờ Đảo Clipperton
🇨🇷	cờ Costa Rica
🇨🇺	cờ Cuba
🇨🇻	cờ Cape Verde
🇨🇼	cờ Curaçao
🇨🇽	cờ Đảo Giáng Sinh
🇨🇾	cờ Síp
🇨🇿	cờ Séc
🇩🇪	cờ Đức
🇩🇬	cờ Diego Garcia
🇩🇯	cờ Djibouti
🇩🇰	cờ Đan Mạch
🇩🇲	cờ Dominica
🇩🇴	cờ Cộng hòa Dominica
🇩🇿	cờ Algeria
🇪🇦	cờ Ceuta và Melilla
🇪🇨	cờ Ecuador
🇪🇪	cờ Estonia
🇪🇬	cờ Ai Cập
🇪🇭	cờ Tây Sahara
🇪🇷	cờ Eritrea
🇪🇸	cờ Tây Ban Nha
🇪🇹	cờ Ethiopia
🇪🇺	cờ Liên Minh Châu Âu
🇫🇮	cờ Phần Lan
🇫🇯	cờ Fiji
🇫🇰	cờ Quần đảo Falkland
🇫🇲	cờ Micronesia
🇫🇴	cờ Quần đảo Faroe
🇫🇷	cờ Pháp
🇬🇦	cờ Gabon
🇬🇧	cờ Vương quốc Anh
🇬🇩	cờ Grenada
🇬🇪	cờ Gruzia
🇬🇫	cờ Guiana thuộc Pháp
🇬🇬	cờ Guernsey
🇬🇭	cờ Ghana
🇬🇮	cờ Gibraltar
🇬🇱	cờ Greenland
🇬🇲	cờ Gambia
🇬🇳	cờ Guinea
🇬🇵	cờ Guadeloupe
🇬🇶	cờ Guinea Xích Đạo
🇬🇷	cờ Hy Lạp
🇬🇸	cờ Nam Georgia & Quần đảo Nam Sandwich
🇬🇹	cờ Guatemala
🇬🇺	cờ Guam
🇬🇼	cờ Guinea-Bissau
🇬🇾	cờ Guyana
🇭🇰	cờ Hồng Kông, Trung Quốc
🇭🇲	cờ Quần đảo Heard và McDonald
🇭🇳	cờ Honduras
🇭🇷	cờ Croatia
🇭🇹	cờ Haiti
🇭🇺	cờ Hungary
🇮🇨	cờ Quần đảo Canary
🇮🇩	cờ Indonesia
🇮🇪	cờ Ireland
🇮🇱	cờ Israel
🇮🇲	cờ Đảo Man
🇮🇳	cờ Ấn Độ
🇮🇴	cờ Lãnh thổ Ấn độ dương thuộc Anh
🇮🇶	cờ Iraq
🇮🇷	cờ Iran
🇮🇸	cờ Iceland
🇮🇹	cờ Italy
🇯🇪	cờ Jersey
🇯🇲	cờ Jamaica
🇯🇴	cờ Jordan
🇯🇵	cờ Nhật Bản
🇰🇪	cờ Kenya
🇰🇬	cờ Kyrgyzstan
🇰🇭	cờ Campuchia
🇰🇮	cờ Kiribati
🇰🇲	cờ Comoros
🇰🇳	cờ St. Kitts và Nevis
🇰🇵	cờ Triều Tiên
🇰🇷	cờ Hàn Quốc
🇰🇼	cờ Kuwait
🇰🇾	cờ Quần đảo Cayman
🇰🇿	cờ Kazakhstan
🇱🇦	cờ Lào
🇱🇧	cờ Li-băng
🇱🇨	cờ St. Lucia
🇱🇮	cờ Liechtenstein
🇱🇰	cờ Sri Lanka
🇱🇷	cờ Liberia
🇱🇸	cờ Lesotho
🇱🇹	cờ Litva
🇱🇺	cờ Luxembourg
🇱🇻	cờ Latvia
🇱🇾	cờ Libya
🇲🇦	cờ Ma-rốc
🇲🇨	cờ Monaco
🇲🇩	cờ Moldova
🇲🇪	cờ Montenegro
🇲🇫	cờ St. Martin
🇲🇬	cờ Madagascar
🇲🇭	cờ Quần đảo Marshall
🇲🇰	cờ Macedonia
🇲🇱	cờ Mali
🇲🇲	cờ Myanmar (Miến Điện)
🇲🇳	cờ Mông Cổ
🇲🇴	cờ Macao, Trung Quốc
🇲🇵	cờ Quần đảo Bắc Mariana
🇲🇶	cờ Martinique
🇲🇷	cờ Mauritania
🇲🇸	cờ Montserrat
🇲🇹	cờ Malta
🇲🇺	cờ Mauritius
🇲🇻	cờ Maldives
🇲🇼	cờ Malawi
🇲🇽	cờ Mexico
🇲🇾	cờ Malaysia
🇲🇿	cờ Mozambique
🇳🇦	cờ Namibia
🇳🇨	cờ New Caledonia
🇳🇪	cờ Niger
🇳🇫	cờ Đảo Norfolk
🇳🇬	cờ Nigeria
🇳🇮	cờ Nicaragua
🇳🇱	cờ Hà Lan
🇳🇴	cờ Na Uy
🇳🇵	cờ Nepal
🇳🇷	cờ Nauru
🇳🇺	cờ Niue
🇳🇿	cờ New Zealand
🇴🇲	cờ Oman
🇵🇦	cờ Panama
🇵🇪	cờ Peru
🇵🇫	cờ Polynesia thuộc Pháp
🇵🇬	cờ Papua New Guinea
🇵🇭	cờ Philippines
🇵🇰	cờ Pakistan
🇵🇱	cờ Ba Lan
🇵🇲	cờ Saint Pierre và Miquelon
🇵🇳	cờ Quần đảo Pitcairn
🇵🇷	cờ Puerto Rico
🇵🇸	cờ Lãnh thổ Palestine
🇵🇹	cờ Bồ Đào Nha
🇵🇼	cờ Palau
🇵🇾	cờ Paraguay
🇶🇦	cờ Qatar
🇷🇪	cờ Réunion
🇷🇴	cờ Romania
🇷🇸	cờ Serbia
🇷🇺	cờ Nga
🇷🇼	cờ Rwanda
🇸🇦	cờ Ả Rập Xê-út
🇸🇧	cờ Quần đảo Solomon
🇸🇨	cờ Seychelles
🇸🇩	cờ Sudan
🇸🇪	cờ Thụy Điển
🇸🇬	cờ Singapore
🇸🇭	cờ St. Helena
🇸🇮	cờ Slovenia
🇸🇯	cờ Svalbard và Jan Mayen
🇸🇰	cờ Slovakia
🇸🇱	cờ Sierra Leone
🇸🇲	cờ San Marino
🇸🇳	cờ Senegal
🇸🇴	cờ Somalia
🇸🇷	cờ Suriname
🇸🇸	cờ Nam Sudan
🇸🇹	cờ São Tomé và Príncipe
🇸🇻	cờ El Salvador
🇸🇽	cờ Sint Maarten
🇸🇾	cờ Syria
🇸🇿	cờ Swaziland
🇹🇦	cờ Tristan da Cunha
🇹🇨	cờ Quần đảo Turks và Caicos
🇹🇩	cờ Chad
🇹🇫	cờ Lãnh thổ phía Nam Thuộc Pháp
🇹🇬	cờ Togo
🇹🇭	cờ Thái Lan
🇹🇯	cờ Tajikistan
🇹🇰	cờ Tokelau
🇹🇱	cờ Timor-Leste
🇹🇲	cờ Turkmenistan
🇹🇳	cờ Tunisia
🇹🇴	cờ Tonga
🇹🇷	cờ Thổ Nhĩ Kỳ
🇹🇹	cờ Trinidad và Tobago
🇹🇻	cờ Tuvalu
🇹🇼	cờ Đài Loan
🇹🇿	cờ Tanzania
🇺🇦	cờ Ukraina
🇺🇬	cờ Uganda
🇺🇲	cờ Các tiểu đảo xa của Hoa Kỳ
🇺🇳	cờ Liên hiệp quốc
🇺🇸	cờ Hoa Kỳ
🇺🇾	cờ Uruguay
🇺🇿	cờ Uzbekistan
🇻🇦	cờ Thành Vatican
🇻🇨	cờ St. Vincent và Grenadines
🇻🇪	cờ Venezuela
🇻🇬	cờ Quần đảo Virgin thuộc Anh
🇻🇮	cờ Quần đảo Virgin thuộc Mỹ
🇻🇳	cờ Việt Nam
🇻🇺	cờ Vanuatu
🇼🇫	cờ Wallis và Futuna
🇼🇸	cờ Samoa
🇽🇰	cờ Kosovo
🇾🇪	cờ Yemen
🇾🇹	cờ Mayotte
🇿🇦	cờ Nam Phi
🇿🇲	cờ Zambia
🇿🇼	cờ Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	cờ Anh Quốc
🏴󠁧󠁢󠁳󠁣󠁴󠁿	cờ Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿	cờ Xứ Wales
#️⃣	phím dấu thăng
*️⃣	phím dấu sao
0️⃣	phím số không
1️⃣	phím số một
2️⃣	phím số hai
3️⃣	phím số ba
4️⃣	phím số bốn
5️⃣	phím số năm
6️⃣	phím số sáu
7️⃣	phím số bảy
8️⃣	phím số tám
9️⃣	phím số chín
🩰	giày múa balê
🩱	áo tắm một mảnh
🩲	quần lót
🩳	quần soóc
🩴	dép xỏ ngón
🩵	trái tim màu xanh dương nhạt
🩶	trái tim màu xám
🩷	trái tim màu hồng
🩸	giọt máu
🩹	băng dính
🩺	ống nghe
🩻	x-quang
🩼	nạng
🪀	yo-yo
🪁	diều
🪂	dù
🪃	bumơrang
🪄	gậy thần
🪅	piñata
🪆	búp bê matryoshka
🪇	maraca
🪈	sáo
🪉	đàn hạc
🪏	xẻng
🪐	hành tinh có vành đai bao quanh
🪑	ghế
🪒	dao cạo
🪓	rìu
🪔	đèn diya
🪕	đàn banjo
🪖	mũ sắt quân đội
🪗	phong cầm
🪘	trống dài
🪙	đồng tiền
🪚	cưa mộc
🪛	tua vít
🪜	thang
🪝	móc
🪞	gương
🪟	cửa sổ
🪠	dụng cụ thông tắc
🪡	kim may
🪢	nút thắt
🪣	xô
🪤	bẫy chuột
🪥	bàn chải răng
🪦	bia mộ
🪧	bảng hiệu
🪨	đá
🪩	quả cầu gương
🪪	thẻ nhận dạng
🪫	pin yếu
🪬	hamsa
🪭	quạt giấy
🪮	lược Afro Pick
🪯	biểu tượng khanda
🪰	con ruồi
🪱	giun
🪲	bọ cánh cứng
🪳	con gián
🪴	cây trồng trong chậu
🪵	gỗ
🪶	lông chim
🪷	hoa sen
🪸	san hô
🪹	tổ trống rỗng
🪺	tổ có trứng
🪻	lục bình
🪼	sứa
🪽	cánh
🪾	cây trụi lá
🪿	con ngỗng
🫀	cơ quan tim
🫁	phổi
🫂	hai người ôm nhau
🫃	người đàn ông mang bầu
🫄	người mang bầu
🫅	người đội vương miện
🫆	dấu vân tay
🫎	nai sừng tấm Bắc Mỹ
🫏	con lừa
🫐	quả việt quất
🫑	ớt chuông
🫒	ôliu
🫓	bánh mỳ cắt lát
🫔	bánh tamale
🫕	lẩu pho mai
🫖	ấm trà
🫗	đổ chất lỏng
🫘	hạt đậu
🫙	bình đựng
🫚	củ gừng
🫛	đậu Hà Lan
🫜	rau củ
🫟	bắn tung tóe
🫠	mặt tan chảy
🫡	mặt chào
🫢	mặt với cặp mắt mở to và tay che miệng
🫣	mặt hé mắt nhìn trộm
🫤	mặt có miệng xiên
🫥	mặt có đường viền chấm chấm
🫦	cắn môi
🫧	bong bóng
🫨	mặt lắc
🫩	mặt có túi mắt
🫰	bàn tay với ngón trỏ và ngón cái bắt chéo
🫱	bàn tay hướng sang bên phải
🫲	bàn tay hướng sang bên trái
🫳	bàn tay có lòng bàn tay hướng xuống
🫴	bàn tay có lòng bàn tay hướng lên
🫵	ngón trỏ chỉ vào người xem
🫶	hai bàn tay tạo hình trái tim
🫷	bàn tay đẩy sang trái
🫸	bàn tay đẩy sang phải
⛓‍💥	xích bị đứt
❤‍🔥	trái tim bốc lửa
❤‍🩹	trái tim đang lành
🍄‍🟫	nấm màu nâu
🍋‍🟩	chanh ta
🏃‍♀‍➡	người phụ nữ đang chạy hướng sang phải
🏃‍♂‍➡	người đàn ông đang chạy hướng sang phải
🏃‍➡	người chạy hướng sang phải
🏳‍⚧	cờ màu xanh hồng và trắng
🐈‍⬛	mèo đen
🐕‍🦺	chó hỗ trợ
🐦‍⬛	chim hoét đen
🐦‍🔥	phượng hoàng
🐻‍❄	Gấu trắng Bắc Cực
👨‍🍼	người cho con bú
👨‍🦯	người đàn ông với gậy dò đường
👨‍🦯‍➡	người đàn ông với gậy dò đường hướng sang phải
👨‍🦰	đàn ông tóc đỏ
👨‍🦱	đàn ông tóc xoăn
👨‍🦲	đàn ông hói
👨‍🦳	đàn ông tóc trắng
👨‍🦼	người đàn ông trên xe lăn điện
👨‍🦼‍➡	người đàn ông trên xe lăn điện hướng sang phải
👨‍🦽	người đàn ông trên xe lăn tay
👨‍🦽‍➡	người đàn ông trên xe lăn tay hướng sang phải
👩‍❤‍💋‍👨	nụ hôn giữa một người phụ nữ và một người đàn ông
