©	bản quyền
⋁	logic hoặc đa phân
⋂	giao đa phân
⋃	hợp đa phân
⋅	toán tử dấu chấm
⋆	toán tử dấu sao
⋈	phép nối tự nhiên
⋒	giao kép
⋘	ít hơn rất nhiều
⋙	lớn hơn rất nhiều
⋭	không chứa như nhóm con bình thường bằng
⋮	dấu ba chấm dọc
⋯	dấu ba chấm ngang đường trung tuyến
⋰	dấu ba chấm chéo phải trên
⋱	dấu ba chấm chéo phải xuống
⌚	đồng hồ
⌛	đồng hồ cát đã chảy hết
⌨	bàn phím
⏏	nút tháo
⏩	nút tua đi nhanh
⏪	nút tua lại nhanh
⏫	nút lên nhanh
⏬	nút xuống nhanh
⏭	nút bài tiếp theo
⏮	nút bài trước
⏯	nút phát hoặc tạm dừng
⏰	đồng hồ báo thức
⏱	đồng hồ bấm giờ
⏲	đồng hồ hẹn giờ
⏳	đồng hồ cát đang chảy
⏸	nút tạm dừng
⏹	nút dừng
⏺	nút ghi
Ⓜ	chữ M trong vòng tròn
■	hình vuông đặc
□	hình vuông rỗng
▢	hình vuông rỗng có góc bo tròn
▣	hình vuông rỗng chứa hình vuông đặc
▤	hình vuông có sọc ngang
▥	hình vuông có sọc dọc
▦	hình vuông có sọc ngang dọc thẳng góc
▧	hình vuông có sọc chéo từ trái trên xuống phải dưới
▨	hình vuông có sọc chéo từ phải trên xuống trái dưới
▩	hình vuông có sọc chéo song song
▪	hình vuông nhỏ màu đen
▫	hình vuông nhỏ màu trắng
▬	hình chữ nhật đặc
▭	hình chữ nhật rỗng
▮	hình chữ nhật dọc đặc
▰	hình bình hành đặc
▲	tam giác hướng lên
△	hình tam giác rỗng hướng lên
▴	hình tam giác nhỏ đặc hướng lên
▵	hình tam giác nhỏ rỗng hướng lên
▶	nút phát
▷	hình tam giác rỗng hướng sang phải
▸	hình tam giác nhỏ đặc hướng sang phải
▹	hình tam giác nhỏ rỗng hướng sang phải
►	con trỏ đặc hướng sang phải
▻	con trỏ rỗng hướng sang phải
▼	tam giác hướng xuống
▽	hình tam giác rỗng hướng xuống
▾	hình tam giác nhỏ đặc hướng xuống
▿	hình tam giác nhỏ rỗng hướng xuống
◀	nút tua lại
◁	hình tam giác rỗng hướng sang trái
◂	hình tam giác nhỏ đặc hướng sang trái
◃	hình tam giác nhỏ rỗng hướng sang trái
◄	con trỏ đặc hướng sang trái
◅	con trỏ rỗng hướng sang trái
◆	hình kim cương đặc
◇	hình kim cương rỗng
◈	hình kim cương rỗng chứa hình kim cương đặc
◉	hình tròn rỗng chứa hình tròn đặc
◊	hình thoi
○	chấm rỗng
◌	hình tròn chấm chấm
◍	hình tròn có sọc dọc
◎	hình tròn đồng tâm
●	chấm tròn
◐	hình tròn nửa trái đặc
◑	hình tròn nửa phải đặc
◒	hình tròn nửa dưới đặc
◓	hình tròn nửa trên đặc
◔	hình tròn góc phần tư phía trên bên phải đặc
◕	hình tròn góc phần tư phía trên bên trái rỗng
◖	nửa hình tròn bên trái đặc
◗	nửa hình tròn bên phải đặc
◘	dấu đầu dòng ngược
◙	hình vuông đặc chứa hình tròn rỗng
◜	cung tròn góc phần tư phía trên bên trái
◝	cung tròn góc phần tư phía trên bên phải
◞	cung tròn góc phần tư phía dưới bên phải
◟	cung tròn góc phần tư phía dưới bên trái
◠	nửa hình tròn trên
◡	nửa hình tròn dưới
◢	hình tam giác phía dưới bên phải đặc
◣	hình tam giác phía dưới bên trái đặc
◤	hình tam giác phía trên bên trái đặc
◥	hình tam giác phía trên bên phải đặc
◦	dấu đầu dòng rỗng
◯	chấm rỗng lớn
◳	hình vuông rỗng góc phần tư phía trên bên phải
