©	copyright
⏸	pulsante pausa
⏹	pulsante stop
⏺	pulsante registrazione
Ⓜ	pulsante M cerchiata
■	quadrato pieno
□	quadrato vuoto
▢	quadrato vuoto con angoli arrotondati
▣	quadrato vuoto con quadrato pieno
▤	quadrato con riempimento orizzontale
▥	quadrato con riempimento verticale
▦	quadrato con riempimento tratteggiato ortogonale
▧	quadrato con righe inclinate da sinistra a destra
▨	quadrato con righe inclinate da destra a sinistra
▩	quadrato con riempimento tratteggiato diagonale
▪	quadrato nero piccolo
▫	quadrato bianco piccolo
▬	rettangolo pieno
▭	rettangolo vuoto
▮	rettangolo verticale pieno
▰	parallelogramma pieno
▲	triangolo pieno rivolto verso l’alto
△	triangolo vuoto rivolto verso l’alto
▴	triangolo piccolo pieno rivolto verso l’alto
▵	triangolo piccolo vuoto rivolto verso l’alto
▶	pulsante play
▷	triangolo vuoto rivolto verso destra
▸	triangolo piccolo pieno rivolto verso destra
▹	triangolo piccolo vuoto rivolto verso destra
►	puntatore pieno rivolto verso destra
▻	puntatore vuoto rivolto verso destra
▼	triangolo pieno capovolto
▽	triangolo vuoto capovolto
▾	triangolo piccolo pieno capovolto
▿	triangolo piccolo vuoto capovolto
◀	pulsante riavvolgimento
◁	triangolo vuoto rivolto verso sinistra
◂	triangolo piccolo pieno rivolto verso sinistra
◃	triangolo piccolo vuoto rivolto verso sinistra
◄	puntatore pieno rivolto verso sinistra
◅	puntatore vuoto rivolto verso sinistra
◆	rombo pieno
◇	rombo vuoto
◈	rombo vuoto con rombo pieno
◉	cerchio vuoto con cerchio pieno
◊	losanga
○	cerchio vuoto
◌	cerchio tratteggiato
◍	cerchio con riempimento verticale
◎	cerchi concentrici
●	cerchio pieno
◐	cerchio con metà sinistra piena
◑	cerchio con metà destra piena
◒	cerchio con metà inferiore piena
◓	cerchio con metà superiore piena
◔	cerchio con quadrante in alto a destra pieno
◕	cerchio con quadrante in alto a sinistra vuoto
◖	semicerchio sinistro pieno
◗	semicerchio destro pieno
◘	punto elenco inverso
◙	quadrato pieno con cerchio vuoto
◜	arco circolare del quadrante in alto a sinistra
◝	arco circolare del quadrante in alto a destra
◞	arco circolare del quadrante in basso a destra
◟	arco circolare del quadrante in basso a sinistra
◠	semicerchio superiore
◡	semicerchio inferiore
◢	triangolo in basso a destra pieno
◣	triangolo in basso a sinistra pieno
◤	triangolo in alto a sinistra pieno
◥	triangolo in alto a destra pieno
◯	cerchio vuoto grande
◳	quadrato vuoto con quadrante in alto a destra
◷	cerchio vuoto con quadrante in alto a destra
◻	quadrato bianco medio
◼	quadrato nero medio
◽	quadrato bianco medio-piccolo
◾	quadrato nero medio-piccolo
◿	triangolo in basso a destra vuoto
☀	sole
☁	nuvola
☂	ombrello
☃	pupazzo innevato
☄	cometa
☎	telefono fisso
☑	riquadro con spunta
☔	ombrello bagnato
☕	bevanda calda
☘	trifoglio
☝	indice verso l’alto
☠	teschio con ossa incrociate
☢	radioattivo
☣	rischio biologico
☦	croce ortodossa
☪	mezzaluna e stella
☮	simbolo della pace
☯	Yin e Yang
☸	ruota del Dharma
☹	faccina imbronciata
☺	faccina sorridente
♀	simbolo di femmina
♂	simbolo di maschio
♈	Segno zodiacale dell’Ariete
♉	Segno zodiacale del Toro
♊	Segno zodiacale dei Gemelli
♋	Segno zodiacale del Cancro
♌	Segno zodiacale del Leone
♍	Segno zodiacale della Vergine
♎	Segno zodiacale della Bilancia
♏	Segno zodiacale dello Scorpione
♐	segno zodiacale del Sagittario
♑	Segno zodiacale del Capricorno
♒	Segno zodiacale dell’Acquario
♓	Segno zodiacale dei Pesci
♟	pedina degli scacchi
♠	picche
♣	fiori
♥	cuori
♦	quadri
♨	sorgenti termali
♪	croma
♭	bemolle
♯	diesis
♻	riciclo
♾	simbolo dell’infinito
♿	simbolo della disabilità
⚒	piccone e martello
⚓	ancora
⚔	spade incrociate
⚕	simbolo della medicina
⚖	bilancia a doppio piatto
⚗	alambicco
⚙	ingranaggio
⚛	simbolo dell’atomo
⚜	giglio
⚠	simbolo di avviso
⚡	alta tensione
⚧	simbolo transgender
⚪	cerchio bianco
⚫	cerchio nero
⚰	bara
⚱	urna funeraria
⚽	pallone da calcio
⚾	palla da baseball
⛄	pupazzo di neve
⛅	sole coperto
⛈	temporale
⛎	Segno zodiacale dell’Ofiuco
⛏	piccone
⛑	elmetto con croce bianca
⛓	catene
⛔	segnale di divieto di accesso
⛩	jinja
⛪	chiesa
⛰	montagna
⛱	ombrellone
⛲	fontana
⛳	bandiera in buca
⛴	traghetto
⛵	barca a vela
⛷	sciatore
⛸	pattinaggio su ghiaccio
⛹	persona che fa rimbalzare una palla
⛺	tenda
⛽	stazione di servizio
✂	forbici
✅	segno di spunta
✈	aeroplano
✉	busta
✊	sasso
✋	mano alzata
✌	vittoria
✍	mano che scrive
✏	matita
✒	pennino
✔	segno di spunta nero
✖	segno moltiplicazione
✝	croce latina
✡	stella di David
✨	stelline
✳	asterisco
✴	stella stilizzata
❄	fiocco di neve
❇	scintilla stilizzata
❌	croce
❎	croce con quadrato
❓	punto di domanda pieno
❔	punto interrogativo bianco
❕	punto esclamativo vuoto
❗	punto esclamativo pieno
❣	punto esclamativo a cuore
❤	cuore rosso
➕	simbolo dell’addizione
➖	simbolo della sottrazione
➗	simbolo della divisione
➡	freccia a destra
➰	occhiello
➿	doppio occhiello
⤴	freccia curva in alto
⤵	freccia curva in basso
⨧	segno più con pedice due
⨯	prodotto vettoriale
⨼	prodotto interno
⩣	operatore o logico con doppia barra inferiore
⩽	minore di sopra uguale a obliquo
⪍	minore di sopra circa uguale
⪚	uguale doppio sopra maggiore di
⪺	segue sopra non quasi uguale
⬅	freccia a sinistra
⬆	freccia rivolta verso l’alto
⬇	freccia in basso
⬛	quadrato nero grande
⬜	quadrato bianco grande
⭐	stella
⭕	cerchio
〰	trattino ondulato
〽	suddivisione parti
㊗	ideogramma congratulazioni
㊙	ideogramma segreto
﷼	rial
🅰	gruppo sanguigno A
🅱	gruppo sanguigno B
🅾	gruppo sanguigno O
🅿	pulsante P
🆎	gruppo sanguigno AB
🆑	pulsante CL
🆒	pulsante COOL
🆓	pulsante FREE
🆔	pulsante ID
🆕	pulsante NEW
🆖	pulsante NG
🆗	pulsante OK
🆘	pulsante SOS
🆙	pulsante UP!
🆚	pulsante VS
🇨🇶	Sark
🈁	ideogramma katakana qui
🈂	ideogramma katakana sa
🈚	ideogramma negazione
🈯	ideogramma dito
🈲	ideogramma proibito
🈳	ideogramma vuoto
🈴	ideogramma insieme
🈵	ideogramma pienezza
🈶	ideogramma esistere
🈷	ideogramma luna
🈸	ideogramma applicare
🈹	ideogramma dividere
🈺	ideogramma in funzione
🉐	ideogramma vantaggio
🉑	ideogramma accettare
🀄	tessera Mahjong
🃏	jolly
🌀	ciclone
🌁	nebbioso
🌂	ombrello chiuso
🌃	notte stellata
🌄	alba sulle montagne
🌅	alba
🌆	città al tramonto
🌇	tramonto
🌈	arcobaleno
🌉	ponte di notte
🌊	onda
🌋	vulcano
🌌	Via Lattea
🌍	Europa e Africa
🌎	America
🌏	Asia e Australia
🌐	globo con meridiani
🌑	luna nuova
🌒	luna crescente
🌓	primo quarto di luna
🌔	gibbosa crescente
🌕	luna piena
🌖	gibbosa calante
🌗	ultimo quarto di luna
🌘	luna calante
🌙	spicchio di luna
🌚	faccina luna nuova
🌛	faccina primo quarto di luna
🌜	faccina ultimo quarto di luna
🌝	faccina luna piena
🌞	faccina sole
🌟	stella che brilla
🌠	stella cadente
🌡	termometro
🌤	parzialmente nuvoloso
🌥	molto nuvoloso
🌦	sole coperto e pioggia
🌧	pioggia
🌨	neve
🌩	fulmini
🌪	tornado
🌫	nebbia
🌬	vento
🌭	hot dog
🌮	taco
🌯	burrito
🌰	castagna
🌱	germoglio
🌲	albero sempreverde
🌳	albero deciduo
🌴	palma
🌵	cactus
🌶	peperoncino
🌷	tulipano
🌸	fiore di ciliegio
🌹	rosa
🌺	ibisco
🌻	girasole
🌼	fiore
🌽	pannocchia
🌾	pianta di riso
🌿	pianta
🍀	quadrifoglio
🍁	foglia d’acero
🍂	foglia caduta
🍃	foglia al vento
🍄	fungo
🍅	pomodoro
🍆	melanzana
🍇	uva
🍈	melone
🍉	anguria
🍊	mandarino
🍋	limone
🍌	banana
🍍	ananas
🍎	mela rossa
🍏	mela verde
🍐	pera
🍑	pesca
🍒	ciliegia
🍓	fragola
🍔	hamburger
🍕	pizza
🍖	carne
🍗	coscia di pollo
🍘	galletta di riso
🍙	arancino di riso
🍚	riso bollito
🍛	riso al curry
🍜	piatto caldo
🍝	spaghetti
🍞	pane
🍟	patatine
🍠	patata arrosto
🍡	dolcetto
🍢	spiedino
🍣	sushi
🍤	gambero fritto
🍥	crocchetta di pesce
🍦	cono gelato
🍧	granita
🍨	coppa di gelato
🍩	ciambella
🍪	biscotto
🍫	cioccolato
🍬	caramella
🍭	lecca lecca
🍮	budino
🍯	vaso di miele
🍰	fetta di torta
🍱	bento box
🍲	ciotola di cibo
🍳	cucinare
🍴	forchetta e coltello
🍵	tazza
🍶	sake
🍷	bicchiere di vino
🍸	cocktail
🍹	cocktail tropicale
🍺	boccale di birra
🍻	boccali di birra che brindano
🍼	biberon
🍽	piatto e posate
🍾	bottiglia stappata
🍿	popcorn
🎀	fiocco
🎁	regalo
🎂	torta di compleanno
🎃	zucca di Halloween
🎄	albero di Natale
🎅	Babbo Natale
🎆	fuoco d’artificio
🎇	stella filante
🎈	palloncino
🎉	spara coriandoli
🎊	coriandoli
🎋	albero decorato
🎌	bandiere del Giappone incrociate
🎍	bambù decorato
🎎	bambole giapponesi
🎏	aquilone a forma di carpa
🎐	campana al vento
🎑	contemplazione della luna
🎒	zaino per la scuola
🎓	cappello da laureato
🎖	medaglia
🎗	nastro
🎙	microfono radiofonico
🎚	cursore del volume
🎛	manopole di controllo
🎞	pellicola cinematografica
🎟	biglietto d’ingresso
🎠	cavallo da giostra
🎡	ruota panoramica
🎢	montagne russe
🎣	canna da pesca
🎤	microfono
🎥	cinepresa
🎦	film
🎧	cuffie
🎨	tavolozza dei colori
🎩	cilindro
🎪	circo
🎫	biglietto
🎬	ciak
🎭	maschere
🎮	gamepad
🎯	bersaglio
🎰	slot machine
🎱	biliardo
🎲	dado
🎳	bowling
🎴	carta da gioco
🎵	nota musicale
🎶	note musicali
🎷	sassofono
🎸	chitarra
🎹	piano
🎺	tromba
🎻	violino
🎼	pentagramma
🎽	maglia da corsa
🎾	tennis
🎿	sci
🏀	palla da pallacanestro
🏁	bandiera a scacchi
🏂	uomo sullo snowboard
🏃	persona che corre
🏄	persona che fa surf
