©	copyright
😹	gatto lacrime di gioia
😺	gatto che sorride
😻	gatto innamorato
😼	gatto sorriso sarcastico
😽	gatto che manda baci
😾	gatto imbronciato
😿	gatto che piange
🙀	gatto esterrefatto
🙁	faccina leggermente imbronciata
🙂	faccina con sorriso accennato
🙃	faccina sottosopra
🙄	faccina con occhi al cielo
🙅	rifiuto
🙆	gesto OK
🙇	persona che fa un inchino profondo
🙈	non vedo
🙉	non sento
🙊	non parlo
🙋	persona con mano alzata
🙌	urrà
🙍	persona corrucciata
🙎	persona imbronciata
🙏	mani giunte
🚀	razzo
🚁	elicottero
🚂	locomotiva
🚃	vagone
🚄	treno alta velocità
🚅	treno alta velocità punta arrotondata
🚆	treno
🚇	metropolitana
🚈	metrotranvia
🚉	stazione
🚊	tram
🚋	vagone del tram
🚌	bus
🚍	bus in arrivo
🚎	filobus
🚏	fermata dell’autobus
🚐	pulmino
🚑	ambulanza
🚒	camion dei pompieri
🚓	macchina della polizia
🚔	macchina della polizia in arrivo
🚕	taxi
🚖	taxi in arrivo
🚗	auto
🚘	auto in arrivo
🚙	SUV
🚚	camion
🚛	autoarticolato
🚜	trattore
🚝	monorotaia
🚞	ferrovia di montagna
🚟	funivia
🚠	funicolare
🚡	funivia aerea
🚢	nave
🚣	persona in barca a remi
🚤	motoscafo
🚥	semaforo orizzontale
🚦	semaforo verticale
🚧	area cantiere
🚨	lampeggiante
🚩	bandiera triangolare
🚪	porta
🚫	segnale di divieto
🚬	sigaretta
🚭	segnale di vietato fumare
🚮	simbolo per la raccolta dei rifiuti
🚯	vietato gettare rifiuti
🚰	acqua potabile
🚱	acqua non potabile
🚲	bicicletta
🚳	segnale di divieto di transito delle biciclette
🚴	ciclista
🚵	ciclista di mountain bike
🚶	pedone
🚷	divieto transito pedoni
🚸	attraversamento bambini
🚹	Uomini
🚺	simbolo del bagno delle donne
🚻	simbolo dei servizi igienici
🚼	simbolo con immagine di bambino
🚽	toilette
🚾	simbolo del WC
🚿	doccia
🛀	persona che fa il bagno
🛁	vasca
🛂	simbolo del controllo passaporti
🛃	simbolo della dogana
🛄	simbolo del ritiro bagagli
🛅	simbolo del deposito bagagli
🛋	divano e lampada
🛌	persona a letto
🛍	borse della spesa
🛎	campanello da hotel
🛏	letto
🛐	luogo di culto
🛑	segnale di stop
🛒	carrello
🛕	tempio indù
🛖	capanna
🛗	ascensore
🛜	wireless
🛝	scivolo
🛞	ruota
🛟	salvagente
🛠	martello e chiave inglese
🛡	scudo
🛢	barile di petrolio
🛣	autostrada
🛤	binari
🛥	barca a motore
🛩	aereo turistico
🛫	decollo
🛬	atterraggio
🛰	satellite
🛳	crociera
🛴	monopattino
🛵	scooter
🛶	canoa
🛷	slitta
🛸	disco volante
🛹	skateboard
🛺	risciò a motore
🛻	pickup
🛼	pattini a rotelle
🟠	cerchio arancione
🟡	cerchio giallo
🟢	cerchio verde
🟣	cerchio viola
🟤	cerchio marrone
🟥	quadrato rosso
🟦	quadrato blu
🟧	quadrato arancione
🟨	quadrato giallo
🟩	quadrato verde
🟪	quadrato viola
🟫	quadrato marrone
🟰	segno di uguaglianza
🤌	mano a pigna
🤍	cuore bianco
🤎	cuore marrone
🤏	mano che fa il gesto del pizzico
🤐	faccina con bocca con cerniera
🤑	faccina avida di denaro
🤒	faccina con termometro
🤓	faccina nerd
🤔	faccina concentrata
🤕	faccina bendata
🤖	faccina di robot
🤗	faccina che abbraccia
🤘	segno delle corna
🤙	mano con gesto di chiamata
🤚	dorso mano alzata
🤛	pugno a sinistra
🤜	pugno a destra
🤝	stretta di mano
🤞	dita incrociate
🤟	gesto ti amo
🤠	faccina con cappello da cowboy
🤡	faccina pagliaccio
🤢	faccina nauseata
🤣	ridere a crepapelle
🤤	faccina che sbava
🤥	faccina bugiarda
🤦	persona esasperata
🤧	faccina che starnutisce
🤨	faccia con sopracciglia alzate
🤩	colpo di fulmine
🤪	faccina impazzita
🤫	faccina che zittisce
🤬	faccina con simboli sulla bocca
🤭	faccina con mano sulla bocca
🤮	faccina che vomita
🤯	testa che esplode
🤰	donna incinta
🤱	allattare
🤲	mani unite in alto
🤳	selfie
🤴	principe
🤵	uomo in smoking
🤶	Mamma Natale
🤷	persona che scrolla le spalle
🤸	persona che fa la ruota
🤹	giocoliere
🤺	schermidore
🤼	persone che fanno la lotta
🤽	persona che gioca a pallanuoto
🤾	persona che gioca a pallamano
🤿	maschera da sub
🥀	fiore appassito
🥁	tamburo
🥂	cin cin
🥃	bicchiere tumbler
🥄	cucchiaio
🥅	porta da calcio
🥇	medaglia d’oro
🥈	medaglia d’argento
🥉	medaglia di bronzo
🥊	guantone da pugilato
🥋	kimono per arti marziali
🥌	stone da curling
🥍	lacrosse
🥎	palla da softball
🥏	frisbee
🥐	croissant
🥑	avocado
🥒	cetriolo
🥓	pancetta
🥔	patata
🥕	carota
🥖	baguette
🥗	insalata verde
🥘	padella con cibo
🥙	kebab
🥚	uovo
🥛	bicchiere di latte
🥜	noccioline
🥝	kiwi
🥞	pancake
🥟	ravioli
🥠	biscotto della fortuna
🥡	confezione da asporto
🥢	bacchette
🥣	ciotola con cucchiaio
🥤	tazza con cannuccia
🥥	cocco
🥦	broccoli
🥧	torta
🥨	pretzel
🥩	taglio di carne
🥪	sandwich
🥫	cibo in scatola
🥬	verdure a foglia
🥭	mango
🥮	torta della luna
🥯	bagel
🥰	faccina con cuoricini
🥱	faccina che sbadiglia
🥲	faccina sorridente con lacrima
🥳	faccina che festeggia
🥴	faccina stordita
🥵	faccina accaldata
🥶	faccina congelata
🥷	ninja
🥸	faccina travestita
🥹	faccina che trattiene le lacrime
🥺	faccina sull’orlo delle lacrime
🥻	sari
🥼	camice
🥽	occhialini
🥾	stivale da trekking
🥿	ballerina
🦀	granchio
🦁	faccina leone
🦂	scorpione
🦃	tacchino
🦄	faccina unicorno
🦅	aquila
🦆	anatra
🦇	pipistrello
🦈	squalo
🦉	gufo
🦊	faccina volpe
🦋	farfalla
🦌	cervo
🦍	gorilla
🦎	lucertola
🦏	rinoceronte
🦐	gamberetto
🦑	calamaro
🦒	giraffa
🦓	zebra
🦔	riccio
🦕	sauropode
🦖	T-Rex
🦗	grillo
🦘	canguro
🦙	lama
🦚	pavone
🦛	ippopotamo
🦜	pappagallo
🦝	procione
🦞	aragosta
🦟	zanzara
🦠	microbo
🦡	tasso
🦢	cigno
🦣	mammut
🦤	dodo
🦥	bradipo
🦦	lontra
🦧	orangotango
🦨	puzzola
🦩	fenicottero
🦪	ostrica
🦫	castoro
🦬	bisonte
🦭	foca
🦮	cane guida
🦯	bastone per non vedenti
🦰	capelli rossi
🦱	capelli ricci
🦲	calvo
🦳	capelli bianchi
🦴	osso
🦵	gamba
🦶	piede
🦷	dente
🦸	supereroe
🦹	supercattivo
🦺	gilet di sicurezza
🦻	orecchio con apparecchio acustico
🦼	sedia a rotelle motorizzata
🦽	sedia a rotelle manuale
🦾	protesi robotica per il braccio
🦿	protesi robotica per la gamba
🧀	fetta di formaggio
🧁	cupcake
🧂	sale
🧃	bevanda monodose
🧄	aglio
🧅	cipolla
🧆	falafel
🧇	waffle
🧈	burro
🧉	mate
🧊	cubetto di ghiaccio
🧋	bubble tea
🧌	troll
🧍	persona in piedi
🧎	persona inginocchiata
🧏	persona con problemi di udito
🧐	faccina con monocolo
🧑	adulto
🧒	bimbo
🧓	adulto anziano
🧔	uomo con la barba
🧕	donna con foulard
🧖	persona in sauna
🧗	persona che scala
🧘	persona in posizione del loto
🧙	mago
🧚	fata
🧛	vampiro
🧜	sirena
🧝	elfo
🧞	genio
🧟	zombie
🧠	cervello
🧡	cuore arancione
🧢	cappello con visiera
🧣	sciarpa
🧤	guanti
🧥	cappotto
🧦	calzini
🧧	busta rossa
🧨	petardo
🧩	puzzle
🧪	provetta
🧫	piastra di Petri
🧬	dna
🧭	bussola
🧮	abaco
🧯	estintore
🧰	cassetta degli attrezzi
🧱	mattoni
🧲	calamita
🧳	valigia
🧴	flacone
🧵	filo
🧶	gomitolo
🧷	spilla da balia
🧸	orsetto
🧹	scopa
🧺	cesto
🧻	rotolo di carta igienica
🧼	sapone
🧽	spugna
🧾	scontrino
🧿	occhio di Allah
🇦🇨	bandiera d'Isola Ascensione
🇦🇩	bandiera d'Andorra
🇦🇪	bandiera degli Emirati Arabi Uniti
🇦🇫	bandiera d'Afghanistan
🇦🇬	bandiera d'Antigua e Barbuda
🇦🇮	bandiera d'Anguilla
🇦🇱	bandiera d'Albania
🇦🇲	bandiera d'Armenia
🇦🇴	bandiera d'Angola
🇦🇶	bandiera d'Antartide
🇦🇷	bandiera dell'Argentina
🇦🇸	bandiera di Samoa americane
🇦🇹	bandiera dell'Austria
🇦🇺	bandiera dell'Australia
🇦🇼	bandiera d'Aruba
🇦🇽	bandiera delle Isole Åland
🇦🇿	bandiera d'Azerbaigian
🇧🇦	bandiera di Bosnia ed Erzegovina
🇧🇧	bandiera di Barbados
🇧🇩	bandiera di Bangladesh
🇧🇪	bandiera di Belgio
🇧🇫	bandiera di Burkina Faso
🇧🇬	bandiera di Bulgaria
🇧🇭	bandiera di Bahrein
🇧🇮	bandiera di Burundi
🇧🇯	bandiera di Benin
🇧🇱	bandiera di Saint-Barthélemy
🇧🇲	bandiera di Bermuda
🇧🇳	bandiera di Brunei
🇧🇴	bandiera di Bolivia
🇧🇶	bandiera di Caraibi olandesi
🇧🇷	bandiera del Brasile
🇧🇸	bandiera di Bahamas
🇧🇹	bandiera di Bhutan
🇧🇻	bandiera d'Isola Bouvet
🇧🇼	bandiera di Botswana
🇧🇾	bandiera di Bielorussia
🇧🇿	bandiera di Belize
🇨🇦	bandiera di Canada
🇨🇨	bandiera delle Isole Cocos (Keeling)
🇨🇩	bandiera di Congo - Kinshasa
🇨🇫	bandiera di Repubblica Centrafricana
🇨🇬	bandiera di Congo-Brazzaville
🇨🇭	bandiera di Svizzera
🇨🇮	bandiera di Costa d’Avorio
🇨🇰	bandiera delle Isole Cook
🇨🇱	bandiera di Cile
🇨🇲	bandiera di Camerun
🇨🇳	bandiera della Cina
🇨🇴	bandiera di Colombia
🇨🇵	bandiera d'Isola di Clipperton
🇨🇷	bandiera di Costa Rica
🇨🇺	bandiera di Cuba
🇨🇻	bandiera di Capo Verde
🇨🇼	bandiera di Curaçao
🇨🇽	bandiera d'Isola Christmas
🇨🇾	bandiera di Cipro
🇨🇿	bandiera di Cechia
🇩🇪	bandiera della Germania
🇩🇬	bandiera di Diego Garcia
🇩🇯	bandiera di Gibuti
🇩🇰	bandiera di Danimarca
🇩🇲	bandiera di Dominica
🇩🇴	bandiera di Repubblica Dominicana
🇩🇿	bandiera d'Algeria
🇪🇦	bandiera di Ceuta e Melilla
🇪🇨	bandiera d'Ecuador
🇪🇪	bandiera d'Estonia
🇪🇬	bandiera d'Egitto
🇪🇭	bandiera di Sahara occidentale
🇪🇷	bandiera d'Eritrea
🇪🇸	bandiera della Spagna
🇪🇹	bandiera d'Etiopia
🇪🇺	bandiera d'Unione Europea
🇫🇮	bandiera di Finlandia
🇫🇯	bandiera di Figi
🇫🇰	bandiera delle Isole Falkland
🇫🇲	bandiera di Micronesia
🇫🇴	bandiera delle Isole Fær Øer
🇫🇷	bandiera della Francia
🇬🇦	bandiera di Gabon
🇬🇧	bandiera del Regno Unito
🇬🇩	bandiera di Grenada
🇬🇪	bandiera di Georgia
🇬🇫	bandiera di Guyana francese
🇬🇬	bandiera di Guernsey
🇬🇭	bandiera di Ghana
🇬🇮	bandiera di Gibilterra
🇬🇱	bandiera di Groenlandia
🇬🇲	bandiera di Gambia
🇬🇳	bandiera di Guinea
🇬🇵	bandiera di Guadalupa
🇬🇶	bandiera di Guinea Equatoriale
🇬🇷	bandiera di Grecia
🇬🇸	bandiera di Georgia del Sud e Sandwich australi
🇬🇹	bandiera di Guatemala
🇬🇺	bandiera di Guam
🇬🇼	bandiera di Guinea-Bissau
🇬🇾	bandiera di Guyana
🇭🇰	bandiera di RAS di Hong Kong
🇭🇲	bandiera delle Isole Heard e McDonald
🇭🇳	bandiera di Honduras
🇭🇷	bandiera di Croazia
🇭🇹	bandiera di Haiti
🇭🇺	bandiera d'Ungheria
🇮🇨	bandiera delle Isole Canarie
🇮🇩	bandiera d'Indonesia
🇮🇪	bandiera d'Irlanda
🇮🇱	bandiera d'Israele
🇮🇲	bandiera d'Isola di Man
🇮🇳	bandiera dell'India
🇮🇴	bandiera di Territorio britannico dell’Oceano Indiano
🇮🇶	bandiera d'Iraq
🇮🇷	bandiera d'Iran
🇮🇸	bandiera d'Islanda
🇮🇹	bandiera dell'Italia
🇯🇪	bandiera di Jersey
🇯🇲	bandiera di Giamaica
🇯🇴	bandiera di Giordania
🇯🇵	bandiera del Giappone
🇰🇪	bandiera di Kenya
🇰🇬	bandiera di Kirghizistan
🇰🇭	bandiera di Cambogia
🇰🇮	bandiera di Kiribati
🇰🇲	bandiera di Comore
🇰🇳	bandiera di Saint Kitts e Nevis
🇰🇵	bandiera della Corea del Nord
🇰🇷	bandiera della Corea del Sud
🇰🇼	bandiera di Kuwait
🇰🇾	bandiera delle Isole Cayman
🇰🇿	bandiera di Kazakistan
🇱🇦	bandiera di Laos
🇱🇧	bandiera di Libano
🇱🇨	bandiera di Saint Lucia
🇱🇮	bandiera di Liechtenstein
🇱🇰	bandiera di Sri Lanka
🇱🇷	bandiera di Liberia
🇱🇸	bandiera di Lesotho
🇱🇹	bandiera di Lituania
🇱🇺	bandiera di Lussemburgo
🇱🇻	bandiera di Lettonia
🇱🇾	bandiera di Libia
🇲🇦	bandiera di Marocco
🇲🇨	bandiera di Monaco
🇲🇩	bandiera di Moldavia
🇲🇪	bandiera di Montenegro
🇲🇫	bandiera di Saint Martin
🇲🇬	bandiera di Madagascar
🇲🇭	bandiera delle Isole Marshall
🇲🇰	bandiera di Repubblica di Macedonia
🇲🇱	bandiera di Mali
🇲🇲	bandiera di Myanmar (Birmania)
🇲🇳	bandiera di Mongolia
🇲🇴	bandiera di RAS di Macao
🇲🇵	bandiera delle Isole Marianne settentrionali
🇲🇶	bandiera di Martinica
🇲🇷	bandiera di Mauritania
🇲🇸	bandiera di Montserrat
🇲🇹	bandiera di Malta
🇲🇺	bandiera di Mauritius
🇲🇻	bandiera di Maldive
🇲🇼	bandiera di Malawi
🇲🇽	bandiera di Messico
🇲🇾	bandiera di Malaysia
🇲🇿	bandiera di Mozambico
🇳🇦	bandiera di Namibia
🇳🇨	bandiera di Nuova Caledonia
🇳🇪	bandiera di Niger
🇳🇫	bandiera d'Isola Norfolk
🇳🇬	bandiera di Nigeria
🇳🇮	bandiera di Nicaragua
🇳🇱	bandiera dei Paesi Bassi
🇳🇴	bandiera di Norvegia
🇳🇵	bandiera di Nepal
🇳🇷	bandiera di Nauru
🇳🇺	bandiera di Niue
🇳🇿	bandiera di Nuova Zelanda
🇴🇲	bandiera d'Oman
🇵🇦	bandiera di Panamá
🇵🇪	bandiera di Perù
🇵🇫	bandiera di Polinesia francese
🇵🇬	bandiera di Papua Nuova Guinea
🇵🇭	bandiera delle Filippine
🇵🇰	bandiera di Pakistan
🇵🇱	bandiera di Polonia
🇵🇲	bandiera di Saint-Pierre e Miquelon
🇵🇳	bandiera delle Isole Pitcairn
🇵🇷	bandiera di Portorico
🇵🇸	bandiera di Territori palestinesi
🇵🇹	bandiera del Portogallo
🇵🇼	bandiera di Palau
🇵🇾	bandiera di Paraguay
🇶🇦	bandiera di Qatar
🇷🇪	bandiera di Riunione
🇷🇴	bandiera di Romania
🇷🇸	bandiera di Serbia
🇷🇺	bandiera della Russia
🇷🇼	bandiera di Ruanda
🇸🇦	bandiera d'Arabia Saudita
🇸🇧	bandiera delle Isole Salomone
🇸🇨	bandiera di Seychelles
🇸🇩	bandiera di Sudan
🇸🇪	bandiera di Svezia
🇸🇬	bandiera di Singapore
🇸🇭	bandiera di Sant’Elena
🇸🇮	bandiera di Slovenia
🇸🇯	bandiera di Svalbard e Jan Mayen
🇸🇰	bandiera di Slovacchia
🇸🇱	bandiera di Sierra Leone
🇸🇲	bandiera di San Marino
🇸🇳	bandiera di Senegal
🇸🇴	bandiera di Somalia
🇸🇷	bandiera di Suriname
🇸🇸	bandiera di Sud Sudan
🇸🇹	bandiera di São Tomé e Príncipe
🇸🇻	bandiera d'El Salvador
🇸🇽	bandiera di Sint Maarten
🇸🇾	bandiera di Siria
🇸🇿	bandiera di Swaziland
🇹🇦	bandiera di Tristan da Cunha
🇹🇨	bandiera delle Isole Turks e Caicos
🇹🇩	bandiera di Ciad
🇹🇫	bandiera di Terre australi francesi
🇹🇬	bandiera di Togo
🇹🇭	bandiera di Thailandia
🇹🇯	bandiera di Tagikistan
🇹🇰	bandiera di Tokelau
🇹🇱	bandiera di Timor Est
🇹🇲	bandiera di Turkmenistan
🇹🇳	bandiera di Tunisia
🇹🇴	bandiera di Tonga
🇹🇷	bandiera di Turchia
🇹🇹	bandiera di Trinidad e Tobago
🇹🇻	bandiera di Tuvalu
🇹🇼	bandiera di Taiwan
🇹🇿	bandiera di Tanzania
🇺🇦	bandiera d'Ucraina
🇺🇬	bandiera d'Uganda
🇺🇲	bandiera d'Altre isole americane del Pacifico
🇺🇳	bandiera di Nazioni Unite
🇺🇸	bandiera degli Stati Uniti
🇺🇾	bandiera d'Uruguay
🇺🇿	bandiera d'Uzbekistan
🇻🇦	bandiera di Città del Vaticano
🇻🇨	bandiera di Saint Vincent e Grenadine
🇻🇪	bandiera di Venezuela
🇻🇬	bandiera delle Isole Vergini Britanniche
🇻🇮	bandiera delle Isole Vergini Americane
🇻🇳	bandiera di Vietnam
🇻🇺	bandiera di Vanuatu
🇼🇫	bandiera di Wallis e Futuna
🇼🇸	bandiera di Samoa
🇽🇰	bandiera di Kosovo
🇾🇪	bandiera di Yemen
🇾🇹	bandiera di Mayotte
🇿🇦	bandiera di Sudafrica
🇿🇲	bandiera di Zambia
🇿🇼	bandiera di Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	bandiera dell'Inghilterra
🏴󠁧󠁢󠁳󠁣󠁴󠁿	bandiera di Scozia
🏴󠁧󠁢󠁷󠁬󠁳󠁿	bandiera di Galles
#️⃣	tasto cancelletto
*️⃣	tasto asterisco
0️⃣	tasto con il numero zero
1️⃣	tasto con il numero uno
2️⃣	tasto con il numero due
3️⃣	tasto con il numero tre
4️⃣	tasto con il numero quattro
5️⃣	tasto con il numero cinque
6️⃣	tasto con il numero sei
7️⃣	tasto con il numero sette
8️⃣	tasto con il numero otto
9️⃣	tasto con il numero nove
🩰	scarpette da ballerina
🩱	costume da bagno intero
🩲	slip
🩳	pantaloncini
🩴	infradito
🩵	cuore azzurro
🩶	cuore grigio
🩷	cuore rosa
🩸	goccia di sangue
🩹	cerotto
🩺	stetoscopio
🩻	radiografia
🩼	stampella
🪀	yo-yo
🪁	aquilone
🪂	paracadute
🪃	boomerang
🪄	bacchetta magica
🪅	pentolaccia
🪆	matrioska
🪇	maracas
🪈	flauto
🪉	arpa
🪏	vanga
🪐	pianeta con satellite
🪑	sedia
🪒	rasoio
🪓	ascia
🪔	diya
🪕	banjo
🪖	elmetto militare
🪗	fisarmonica
🪘	tamburo lungo
🪙	moneta
🪚	sega da falegname
🪛	cacciavite
🪜	scala
🪝	gancio
🪞	specchio
🪟	finestra
🪠	sturalavandini
🪡	ago da cucito
🪢	nodo
🪣	secchio
🪤	trappola per topi
🪥	spazzolino da denti
🪦	lapide
🪧	cartello
🪨	roccia
🪩	palla da discoteca
🪪	carta d’identità
🪫	batteria scarica
🪬	mano di Fatima
🪭	ventaglio
🪮	pettine afro
🪯	khanda
🪰	mosca
🪱	verme
🪲	coleottero
🪳	scarafaggio
🪴	pianta in vaso
🪵	legna
🪶	piuma
🪷	loto
🪸	corallo
🪹	nido vuoto
🪺	nido con uova
🪻	giacinto
🪼	medusa
🪽	ala
🪾	albero spoglio
🪿	oca
🫀	organo del cuore
🫁	polmoni
🫂	persone che si abbracciano
🫃	uomo incinto
🫄	persona incinta
🫅	persona con corona
🫆	impronta digitale
🫎	alce
🫏	asino
🫐	mirtilli
🫑	peperone
🫒	oliva
🫓	focaccia
🫔	tamale
🫕	fonduta
🫖	teiera
🫗	liquido versato
🫘	fagioli
🫙	barattolo
🫚	radice di zenzero
🫛	baccello di piselli
🫜	ortaggio da radice
🫟	spruzzo
🫠	faccina che si scioglie
🫡	faccina che fa il saluto
🫢	faccina con occhi aperti e mano sulla bocca
🫣	faccina che sbircia tra le dita
🫤	faccina perplessa
🫥	faccina tratteggiata
🫦	bocca che morde il labbro
🫧	bolle
🫨	faccina tremante
🫩	faccina con borse sotto gli occhi
🫰	mano con indice e pollice incrociati
🫱	mano rivolta a destra
🫲	mano rivolta a sinistra
🫳	mano con il palmo verso il basso
🫴	mano con il palmo verso l’alto
🫵	indice verso l’osservatore
🫶	mani a cuore
🫷	mano che spinge a sinistra
🫸	mano che spinge a destra
⛓‍💥	catena spezzata
❤‍🔥	cuore in fiamme
❤‍🩹	cuore guarito
🍄‍🟫	fungo marrone
🍋‍🟩	lime
🏃‍♀‍➡	donna che corre a destra
🏃‍♂‍➡	uomo che corre a destra
🏃‍➡	persona che corre a destra
🏳‍⚧	bandiera transgender
🐈‍⬛	gatto nero
🐕‍🦺	cane da assistenza
🐦‍⬛	merlo
🐦‍🔥	fenice
🐻‍❄	orso polare
👨‍🍼	uomo che allatta
👨‍🦯	uomo con bastone bianco di orientamento
👨‍🦯‍➡	uomo con bastone bianco di orientamento a destra
👨‍🦰	uomo capelli rossi
👨‍🦱	uomo capelli ricci
👨‍🦲	uomo calvo
👨‍🦳	uomo capelli bianchi
👨‍🦼	uomo su sedia a rotelle motorizzata
👨‍🦼‍➡	uomo su sedia a rotelle motorizzata a destra
👨‍🦽	uomo su sedia a rotelle manuale
👨‍🦽‍➡	uomo su sedia a rotelle manuale a destra
👩‍❤‍💋‍👨	bacio tra una donna e un uomo
👨‍❤‍💋‍👨	bacio tra due uomini
👩‍❤‍💋‍👩	bacio tra due donne
👩‍❤‍👨	una donna e un uomo innamorati
👨‍❤‍👨	due uomini innamorati
👩‍❤‍👩	due donne innamorate
👨‍👩‍👦	famiglia con un uomo, una donna e un bambino
👨‍👩‍👧	famiglia con un uomo, una donna e una bambina
👨‍👩‍👧‍👦	famiglia con un uomo, una donna, un bambino e una bambina
👨‍👩‍👦‍👦	famiglia con un uomo, una donna e due bambini
👨‍👩‍👧‍👧	famiglia con un uomo, una donna e due bambine
👨‍👨‍👦	famiglia con due uomini e un bambino
👨‍👨‍👧	famiglia con due uomini e una bambina
👨‍👨‍👧‍👦	famiglia con due uomini, un bambino e una bambina
👨‍👨‍👦‍👦	famiglia con due uomini e due bambini
👨‍👨‍👧‍👧	famiglia con due uomini e due bambine
👩‍🍼	donna che allatta
👩‍👩‍👦	famiglia con due donne e un bambino
👩‍👩‍👧	famiglia con due donne e una bambina
👩‍👩‍👧‍👦	famiglia con due donne, un bambino e una bambina
👩‍👩‍👦‍👦	famiglia con due donne e due bambini
👩‍👩‍👧‍👧	famiglia con due donne e due bambine
👨‍👦	famiglia con un uomo e un bambino
👨‍👦‍👦	famiglia con un uomo e due bambini
👨‍👧	famiglia con un uomo e una bambina
👨‍👧‍👦	famiglia con un uomo, un bambino e una bambina
👨‍👧‍👧	famiglia con un uomo e due bambine
👩‍👦	famiglia con una donna e un bambino
👩‍👦‍👦	famiglia con una donna e due bambini
👩‍👧	famiglia con una donna e una bambina
👩‍👧‍👦	famiglia con una donna, un bambino e una bambina
👩‍👧‍👧	famiglia con una donna e due bambine
👨‍⚕	operatore sanitario
👩‍⚕	operatrice sanitaria
👨‍⚖	giudice uomo
👩‍⚖	giudice donna
👨‍✈	pilota uomo
👩‍✈	pilota donna
👨‍🌾	contadino
👩‍🌾	contadina
👨‍🍳	cuoco
👩‍🍳	cuoca
👨‍🎓	studente
👩‍🎓	studentessa
👨‍🎤	cantante uomo
👩‍🎤	cantante donna
👨‍🎨	artista uomo
👩‍🎨	artista donna
👨‍🏫	professore
👩‍🏫	professoressa
👨‍🏭	operaio
👩‍🏭	operaia
👨‍💻	tecnologo
👩‍💻	tecnologa
👨‍💼	impiegato
👩‍💼	impiegata
👨‍🔧	meccanico uomo
👩‍🔧	meccanico donna
👨‍🔬	scienziato
👩‍🔬	scienziata
👨‍🚀	astronauta uomo
👩‍🚀	astronauta donna
👨‍🚒	pompiere uomo
👩‍🚒	pompiere donna
👩‍🦯	donna con bastone bianco di orientamento
👩‍🦯‍➡	donna con bastone bianco di orientamento a destra
👩‍🦰	donna capelli rossi
👩‍🦱	donna capelli ricci
👩‍🦲	donna calvo
👩‍🦳	donna capelli bianchi
👩‍🦼	donna su sedia a rotelle motorizzata
👩‍🦼‍➡	donna su sedia a rotelle motorizzata a destra
👩‍🦽	donna su sedia a rotelle manuale
👩‍🦽‍➡	donna su sedia a rotelle manuale a destra
👮‍♀	poliziotta
👮‍♂	poliziotto uomo
👰‍♀	sposa con velo
👰‍♂	sposo con velo
👱‍♀	bionda
👱‍♂	biondo
👳‍♀	donna con turbante
👳‍♂	uomo con turbante
👷‍♀	operaia edile
👷‍♂	operaio edile uomo
💂‍♀	guardia donna
💂‍♂	guardia uomo
🕵️‍♀	investigatrice
🕵️‍♂	investigatore
😮‍💨	faccina che espira
😵‍💫	faccina con occhi a spirale
😶‍🌫	testa tra le nuvole
🙂‍↔	scuotere la testa in senso orizzontale
🙂‍↕	scuotere la testa in senso verticale
🚶‍♀‍➡	donna che cammina a destra
🚶‍♂‍➡	uomo che cammina a destra
🚶‍➡	pedone a destra
🤵‍♀	donna in smoking
🤵‍♂	uomo in smoking
🦸‍♀	supereroina
🦸‍♂	supereroe uomo
🦹‍♀	supercattiva
🦹‍♂	supercattivo uomo
🧍‍♀	donna in piedi
🧍‍♂	uomo in piedi
🧎‍♀	donna inginocchiata
🧎‍♀‍➡	donna inginocchiata a destra
🧎‍♂	uomo inginocchiato
🧎‍♂‍➡	uomo inginocchiato a destra
🧎‍➡	persona inginocchiata a destra
🧏‍♀	donna con problemi di udito
🧏‍♂	uomo con problemi di udito
🧑‍⚕	persona che lavora nella sanità
🧑‍⚖	giudice
🧑‍✈	pilota
🧑‍🌾	agricoltore
🧑‍🍳	persona che cucina
🧑‍🍼	persona che allatta
🧑‍🎄	Santa Claus
🧑‍🎓	studente
🧑‍🎤	cantante
🧑‍🎨	artista
🧑‍🏫	insegnante
🧑‍🏭	persona che lavora in fabbrica
🧑‍💻	persona esperta di tecnologia
🧑‍💼	persona che fa un lavoro d’ufficio
🧑‍🔧	meccanico
🧑‍🔬	persona che lavora in campo scientifico
🧑‍🚀	astronauta
🧑‍🚒	pompiere
🧑‍🤝‍🧑	persone che si tengono per mano
🧑‍🦯	persona con bastone di orientamento
🧑‍🦯‍➡	persona con bastone di orientamento a destra
🧑‍🦰	persona capelli rossi
🧑‍🦱	persona capelli ricci
🧑‍🦲	persona calvo
🧑‍🦳	persona capelli bianchi
🧑‍🦼	persona su sedia a rotelle motorizzata
🧑‍🦼‍➡	persona su sedia a rotelle motorizzata a destra
🧑‍🦽	persona su sedia a rotelle manuale
🧑‍🦽‍➡	persona su sedia a rotelle manuale a destra
🧑‍🧑‍🧒	famiglia persone adulte minore
🧑‍🧑‍🧒‍🧒	famiglia persone adulte minori
🧑‍🧒	famiglia persona adulta minore
🧑‍🧒‍🧒	famiglia persona adulta minore minore
🧑‍🩰	persona che danza
🧔‍♀	donna con la barba
🧔‍♂	uomo con la barba
🧙‍♀	maga
🧙‍♂	mago uomo
🧚‍♀	fata donna
🧚‍♂	fata uomo
🧛‍♀	vampira
🧛‍♂	vampiro uomo
🧜‍♀	sirena donna
🧜‍♂	tritone
🧝‍♀	elfo donna
